score,word
216,you
115,thank
107,kickstarter
103,thanks
86,we
80,for
66,much
57,this
54,in
49,our
48,i
47,us
39,u2
38,have
37,today
37,your
37,all
33,with
30,days
30,everyone
28,out
28,left
28,has
27,now
26,who
25,do
24,about
21,will
20,support
20,day
20,fundclonsters
20,dream
20,httpbitlyclonsters
19,make
19,up
19,live
19,been
19,campaign
19,film
19,loud
18,know
18,come
16,going
16,want
16,me
16,were
15,time
15,youre
15,clonsters
15,help
15,join
15,fans
14,get
14,fan
14,pledged
13,one
13,see
13,please
13,goal
12,funded
12,shared
12,some
11,love
11,go
10,project
10,way
10,more
10,from
10,keep
10,band
9,sure
9,well
9,any
9,share
9,pledge
9,backing
9,lets
9,6
9,pm
9,there
8,rt
8,1
8,no
8,ha
8,then
8,great
8,community
8,need
8,hours
8,world
8,lt3
8,dreams
8,over
8,every
8,wwwdreamoutloudfilmcom
8,dreamoutloud
8,hamster
7,dont
7,good
7,say
7,weve
7,amp
7,getting
7,many
7,wow
7,means
7,7
7,100
7,closer
7,right
7,12
7,music
7,story
7,february
6,book
6,tell
6,here
6,really
6,indeed
6,their
6,too
6,feel
6,long
6,talk
6,danleydon
6,ill
6,first
6,done
6,let
6,far
6,take
6,could
6,think
6,making
6,favorite
6,ericaschultz42
6,made
6,2
6,them
6,sharing
6,truennpledge
6,back
6,u2fans
6,together
6,facebook
6,u2fanfilm
6,u2baby
5,true
5,those
5,use
5,they
5,yes
5,thats
5,did
5,questions
5,also
5,next
5,5
5,post
5,very
5,dan
5,each
5,lot
5,im
5,he
5,happy
5,42
5,best
5,sharednnpledge
5,kimmypagnotta
5,new
5,rolling
5,8
5,happen
5,gmt
5,stories
5,tribute
4,putting
4,action
4,backed
4,few
4,weeks
4,yeah
4,someone
4,quick
4,hell
4,even
4,gets
4,other
4,sweet
4,hit
4,still
4,only
4,guys
4,update
4,page
4,work
4,youve
4,miss
4,awesome
4,jameslittlejuan
4,sheaserrano
4,man
4,markwhyy
4,idea
4,got
4,people
4,scott
4,life
4,being
4,my
4,zenescope
4,glad
4,rewards
