Campaign,Who,Scraper_ID,Category,Graph Type,Facebook,Twitter,Instagram,YouTube,Migration Status,Intent Status,NOTES,type,funded,reached
Delphin: Run & Swim,Church,1321,14,Type 4 152/77,UnderwaterAudio,underwateraudio,underwateraudio,,Done,,,4,152,77
Jubilite Dance Party Lamp,Rosie,519,5,Type 4 148/70,BrainyYakLabs,brainyyaklabs,,,Done,,,4,148,70
Documentary Double Feature Premiere by Lemony Media,Lauren,268,7,Type 4 147/75,Lemony-Media-1606633076261053,,lemonymedia,,Done,,,4,147,75
Americano Short Film,Rosie,754,7,Type 4 145/79,"timviola (p)
consurgofilms",tviola,,,In Progress,,,4,145,79
The Slip #1: A Sci-Fi Tale of Grief and Interdimensional War,Church,1808,,Type 4 144/80,authorcodybstewart,cody_b_stewart,,,Done,,,4,144,80
The Dark Comedy Manga,Church,1160,2,Type 4 144/66,"ichbinbenisrael, thedarkcomedy",IchBinBenIsrael,ichbinbenisrael,,Done,,,4,144,66
"RFIDsecur Contactless blocking cards, ultra thin and secure",Church,2212,,Type 4 143/78,RFIDCloaked,RFIDCloaked,rfidcloaked,RFIDCloaked,In Progress,,,4,143,78
Moors & McCumber - Aisling,Ellen,1434,,Type 4 142/75,MoorsandMcCumber,,,MoorsandMcCumber,In Progress,,,4,142,75
Bryophyte,Church,913,1,Type 4 142/64,mossdollsofficial,mossdolls,mossdolls,,Done,,,4,142,64
Sankofa Farms Agricultural Academy: A Van For Hope,Ellen,1414,,Type 4 141/62,SankofaFarmsLLC,,sankofafarmsllc,,Done,,,4,141,62
Fairyland,Church,123,13,Type 4 140/87,"twigthefairy, zinniathefairy",,,,Done,,,4,140,87
2017 Equine Fine Art Wall Calendar,Rosie,1719,,Type 4 140/70,ArtistKimryJelen,kimryjelen,,,Done,,,4,140,70
Women of Xal,Church,1196,9,Type 4 134/67,"ProjectTrinity (p), ProjectTrinityStudios",XunaAnswers,,ProjectTrinity,In Progress,,,4,134,67
Monster Pop! Volume Two,Thomas,1653,,Type 4 133/84,MayaKernArt,mayakern,mayakern,mayakern,In Progress,,Twitter did not scrape,4,133,84
Yellow-Bellied Sapsuckers,Church,250,11,Type 4 132/83,ybssmusic,,,UCctanOTy-rmELhwQLovuzhA,In Progress,,,4,132,83
Gathering Place Brewing Company,Church,866,8,Type 4 132/83,gatheringplacebrewing,GatheringPlBeer,gatheringplacebrewing,,Done,,,4,132,83
"H.P. Lovecraft's ""Cool Air"" DVD/Blu-ray release",Church,592,7,Type 4 132/76,The-Art-of-Bryan-Moore-1840382879584353,artofbryanmoore,theartofbryanmoore,UCipeLF12Br6hPEUEX-SX6QA,In Progress,,,4,132,76
Ziji Gar Summer Outdoor Youth Retreat,Lauren,365,14,Type 4 131/77,zijigar,dechencholing,,landofgreatbliss,In Progress,,no tweets froom kickstarter period,4,131,77
Cubism : Maestro,Church,1066,9,Type 4 131/70,Full52,Full_52,,DAVEF0RREST,In Progress,,,4,131,70
Short Order Crooks,Church,433,2,Type 4 130/74,"christophersebela (p), gkambadais (p)","xtop, latlansky, TwoHeadedPress, GeorgeKambadais",xtop,,In Progress,,Tumblr: christophersebela,4,130,74
Perfect On Pizza - The Original Italian Hot Sauce,Lauren,1800,,Type 4 130/67,italianhotsauce,perfectonpizza,italianhotsauce,UCwpcqAT7Clfcejd-qpquQqQ,,,,4,130,67
The Selah Pad,Lauren,1241,5,Type 4 130/61,The-Selah-Pad-280649519019535,,,,,,,4,130,61
Procyon Podcast,Church,894,13,Type 4 129/83,procyonpodcasts,"ProcyonPodcasts, S2SPodcast, StarshipIris, U_P_podcast",,,Done,,,4,129,83
Mark and the Molecule Maker 3,Lauren,378,13,Type 4 129/80,,scottsussman,,,Done,,,4,129,80
"""Red Tail Dreamer"" - Tuskegee Airmen",Rosie,959,13,Type 4 129/80,"jerometwhiteartimages
jwhiteart (p)",artist1969,,,In Progress,,,4,129,80
Richard Move presents XXYY & Martha@20 at New York Live Arts,Joseph,1527,,Type 4 129/77,"richard.move (p)
MoveOpolisAndMoveItProductions",RichardMove1,,,Done,,,4,129,77
Help Back Rhodes record an album!,Church,1533,,Type 4 129/67,backrhodesband,,backrhodesband,,Done,,,4,129,67
Achieve your GOALS in 90 days or less with 90X Goal Planner,Jessica,1514,,Type 4 129/60,90XGoalPlanner,90XGOALPLANNER,90xgoalplanner,,Done,,Pinterest: 90XGoalPlanner,4,129,60
An adult animated series about Dave,Church,1025,7,Type 4 128/94,blackholesfilm,blackholesfilm,,,In Progress,,,4,128,94
Greener Grampas Grass,Rosie,337,11,Type 4 128/87,GrampasGrass,,,,Done,,,4,128,87
High Waist Vintage Style Jeans,Lauren,719,6,Type 4 128/81,ladykloves,ladykloves,ladykloves,,Done,,,4,128,81
We Are All Onesie,Lauren,803,6,Type 4 128/81,weareallonesie,,weareallonesie,UCBUSPz812c8rbE84N5V8wyw,In Progress,,,4,128,81
Pots On Wheels,Church,246,1,Type 4 128/79,"hayne.bayless (p), aderokai, potsonwheels","potterybyadero, potsonwheels","potsonwheels, potsinaction",,Done,,,4,128,79
