Campaign,Who,Scraper_ID,Category,Graph Type,Facebook,Twitter,Instagram,YouTube,Migration Status,Intent Status,NOTES,type,funded,reached
#BeingRealComesEasy Promo Tour,Jessica,1510,,Type 4 0/na,Tymespage,Tympeace,,,,,Soundcloud: tympeace,4,0,na
PRO Rich CrÃ¨me Bars,Church,65,8,Type 3 9/na,"PRORichNutritionLLC, peg.crowley.16",prorichco,prorichnutritionllc,,Done,In Progress,,3,9,0
Make Woo,Jessica,174,6,Type 3 9/na,makewoo,makewoo,,,Done,,,3,9,0
NetKnight ShooterTutor,Rosie,333,14,Type 3 9/na,NetKnightShooterTutor,jodiadamsdrama,netknight_shootertutor,,Done,,,3,9,0
Spicey the Gnome,Jess,390,3,Type 3 9/na,Spicey-the-Gnome-Sean-Spicer-Garden-Gnome-1500432086681654/,spiceythegnome,spiceythegnome,,Done,,couldnt enter the twitter in the scrapper tool,3,9,0
Stash My Pix,Rosie,502,14,Type 3 9/na,"stashmypix
ellis.benus (p)",ellisbenus,,,In Progress,,,3,9,0
Clever Collar,Church,711,14,Type 3 9/na,CleverCollar,CleverCollarUK,,,Done,,,3,9,0
Hurt 'EM!,Church,938,9,Type 3 9/na,hurtemcardgame,,,,Done,,,3,9,0
Teamsters Pension Investigation- Road Carriers Local 707,Rosie,971,10,Type 3 9/na,edward.siedle (p),EdwardSiedle,,,In Progress,,,3,9,0
"Douglas Haines - Americana/Folk Album ""Before You Know""",Ellen,1002,11,Type 3 9/na,douglashainesmusic,douglasmusic,,,Done,,,3,9,0
ASHANTI SWIMWEAR: Swimwear With Culture,Rosie,1045,6,Type 3 9/na,ashantiswimwear,ashantiswimwear,ashantiswimwear,,Done,,,3,9,0
Illusion Trails,Lauren,1303,9,Type 3 9/na,"john.bomhoff (p), illusiontrails",jbomhoff,,,Issue,,twitter is not scraping!,3,9,0
Perseus Eco-Clothing,Church,1343,6,Type 3 9/na,perseuseco,perseus_eco,perseusecoclothing,,Done,,,3,9,0
We're out to create the greatest collection of dog stories ever published,Church,1722,13,Type 3 9/na,GoneDogsBook,GoneDogs,gonedogs,,Done,,,3,9,0
Kristinia DeBarge's 3rd Album Dedicated to her FANS!!!,Ellen,2008,,Type 3 9/na,KristiniaDeBarge,,kristiniadeb,UCXgBXt4r34Xk-tD39t8JCwg,In Progress,,,3,9,0
Uriji Jami - the network to build your future,Church,2161,,Type 3 9/na,"urijijami1, jamesolivier (p)",UrijiJami,"thorkil1980, urijijami",,Done,,,3,9,0
"The Adventurous ABCs, by Jess Nevins and Shaenon K. Garrity",Church,1699,13,Type 3 89/na,"shaenon (p), jessnevins (p)","shaenongarrity, jessnevins",,,In Progress,,,3,89,0
Flavour Bottle,Lauren,667,14,Type 3 86/na,flavourbottle,,,,Done,,,3,86,0
Brew House Playing Cards,Church,605,9,Type 3 83/na,forgeknox (unavailable),,"brewhouseplayingcards, forgeknox",,Issue,,FACEBOOK UNAVAILABLE,3,83,0
Blood Moon Eclipse Book,Rosie,407,13,Type 3 8/na,ChristineAlmstromAuthor,calmstrom13,,,Done,,,3,8,0
Loop Olydesign,Rosie,491,5,Type 3 8/na,OLYdesignsllc,OLYdesigns,olydesigns,,Done,,,3,8,0
Harlem Chocolate Factory,Lauren,495,8,Type 3 8/na,harlemchocolatefactory,,harlemchocolatefactory,,Done,,,3,8,0
RECALLIT,Lauren,562,14,Type 3 8/na,readandrecallit,recallit_,recallit_ (private),,In Progress,,,3,8,0
Centuries,Rosie,597,7,Type 3 8/na,"stevieleonard96 (p)
TheCoreProductions",,,,In Progress,,,3,8,0
Anita Louise Organics,Ellen,918,3,Type 3 8/na,anitalouiseorganics,,anitalouiseorganics,,Done,,,3,8,0
Secrets of the Kush Empire 3.0,Lauren,1043,2,Type 3 8/na,Secrets-of-the-Kush-Empire-207657052632771,,,,Done,,,3,8,0
Na'Boka Farms,Rosie,1152,8,Type 3 8/na,"Nabokafarms
lordsvsnth (p)",Nabokafarms,,,In Progress,,,3,8,0
Chasing Her Wild,Church,1165,12,Type 3 8/na,erinwheatp,,erinwheat,,Done,,,3,8,0
Hammer & Sickle Cases for iPhone â€“ Beautifully Impractical.,Rosie,1185,1,Type 3 8/na,jeremybailey79 (p),jeremybailey,,,In Progress,,,3,8,0
Purple Fishing - Trump Supporters/Critics Find Common Ground,Rosie,1192,9,Type 3 8/na,"larry.nimmer (p)
PurpleFishing",,,,In Progress,,,3,8,0
World's First Guitar Stand To Fit In The Palm of Your Hand,Rosie,1204,14,Type 3 8/na,BreezeInvents,,,,Done,,,3,8,0
Electric Toothbrushes With Quarterly Refills - Brusher Club,Lauren,1338,14,Type 3 8/na,brusherclub,brusherclub,brusherclub,,Done,,,3,8,0
spudsâ„¢- The Sporty Earbud Holder,Church,1423,,Type 3 8/na,spuds4you,,spudsforyou,,Done,,,3,8,0
Brittany Elyse's Debut EP,Ellen,1637,,Type 3 8/na,BrittanyElyseOfficial,Britt_Elyse8,brittanyelyse11,UCS8F4b_iaRBfOHalmBY8MEA,In Progress,,,3,8,0
Momma Wade's Smoke House - A life long dream.,Joseph,1657,,Type 3 8/na,mommawadessmokehouse,MWSmokehouse,mommawadessmokehouse,,Done,,Twitter made after campaign,3,8,0
Kings of the Wastelands Volume 1 Trade Paperback,Church,1784,,Type 3 8/na,KingsOfTheWastelands,KOTW_IB,,,Done,,,3,8,0
DON'T MISS OUT ON LIFE WITH THE NOW WATCH,Lauren,1879,,Type 3 8/na,coachsimoncarty,simon_carty,simoncarty,,In Progress,,,3,8,0
Sticky Beard Syrup,Lauren,2247,,Type 3 8/na,stickybeardsyrup,syrupbeard,stickybeardsyrup,,In Progress,,twitter 502,3,8,0
The SeaBag Waterproof Backpack,Lauren,2290,6,Type 3 8/na,seabagkstr,,,,Done,,,3,8,0
Tea Leaves - a short animated horror/comedy film,Ellen,927,7,Type 3 79/na,louisekeaybellartist,louisekeaybell,louisekeaybell,UCcyZcqXiupu8IawLjg93TmA,In Progress,,,3,79,0
Hapyy Granola,Church,1163,8,Type 3 79/na,hapyygranola,hapyygranola,hapyygranola,UCRiTwnOvmrhKh5uXMiQUPmA,In Progress,,,3,79,0
Happy Chess,Joseph,1840,,Type 3 78/na,happychessgame,happychessgame,,,Done,,,3,78,0
AutoDock,Church,50,14,Type 3 76/na,,"jmkuznicki, the_autodock",,,Done,Done,,3,76,0
Classic Game Covers,Lauren,774,13,Type 3 76/na,winterbauerarts,mikewinterbauer,,,Done,,,3,76,0
The Hues Volume III: EMBER,Ellen,876,2,Type 3 76/na,alexheberlingproductions,alexheberling,,,Done,,,3,76,0
FluoWiFi,Church,1049,14,Type 3 76/na,FluoTechnology,FluoTechnology,fluotechnology,UCWCDEuQc-ncAiU3f3Ckaw7A,In Progress,,,3,76,0
Skyways REMASTERED,Church,1655,9,Type 3 76/na,EagleGryphon,eaglegryphon,,,Done,,,3,76,0
Little Bird Big Love,Church,955,8,Type 3 70/na,The-Little-Bird-Bakeshop-155368651166464,,,,Done,,,3,70,0
"""The Tree: A Folk Tale"" Fantasy Short Film",Lauren,1277,7,Type 3 70/na,cyclemovie; thetreeafolktale,kristrauma,,,Done,,,3,70,0
Break The Line - Art Book,Lauren,1811,,Type 3 70/na,cogdrawings,cogdrawings,cogdrawings,,,,,3,70,0
Spark Resistance,Rosie,459,9,Type 3 7/na,FlyingHelmetGames,FHG_Games,,flyinghelmetgames,In Progress,,,3,7,0
Industrial 3D Printer,Rosie,515,14,Type 3 7/na,AaronLouisTech,AaronLouisTech,,,Done,,,3,7,0
Passing on the Magic - photogrammetry 3D printed bookends,Church,628,1,Type 3 7/na,Henry-Reichhold-105132505050,,henryreichhold,,Done,,,3,7,0
Seacliffe is,Church,991,2,Type 3 7/na,akaScoobyArtist,akascooby,akascooby,,Done,,,3,7,0
Sealopus & the Kawaii Revolution Series 1 Collection,Lauren,1280,5,Type 3 7/na,hashimotostudios,hashimototweets,,UCot9IygoeKJEsX2Z2DvyMhw,In Progress,,,3,7,0
Megan Venzin,Church,1291,7,Type 3 7/na,festtheseries,festtheseries,FESTtheSERIES,UCTngJ6ouf7AEdoFrc91dgOA,In Progress,,,3,7,0
Clear Enroll,Joseph,1442,,Type 3 7/na,clearenroll,clearenroll,,,Done,,,3,7,0
Building a Tiny House for a Healers Sanctuary,Jessica,1445,,Type 3 7/na,"MountainWomanMedicine
nemet0n
",,MountainWomanMedicine,,Done,,,3,7,0
Vegan Nom Northloop needs an upgrade! And we need your help!,Joseph,1520,,Type 3 7/na,TheVeganNom,thevegannom,thevegannom,,Done,,,3,7,0
Harf Design,Church,1670,6,Type 3 7/na,harfdesign,HarfDesign,harfdesign,,Done,,,3,7,0
Jason and Robyn Sand,Church,1720,13,Type 3 7/na,,"ourblendedstory, Jasonsand",,,Done,,,3,7,0
Operation C.O.O.P. Mobile Game,Lauren,1992,,Type 3 7/na,firebombent,,,,Done,,,3,7,0
FeetPeople Shoe Care/Polish Valet Kit,Lauren,2014,,Type 3 7/na,feetpeoplestore,feetpeople,,,Issue,,Bad Gateway,3,7,0
Frau Fowler: Highly Effective Tooth & Gum Powder,Rosie,2066,,Type 3 7/na,fraufowler,TheFrauFowler,fraufowler,,Done,,,3,7,0
Calle Amistad - an album of new traditional Cuban music,Ellen,2201,,Type 3 7/na,calleamistad (NOT SCRAPING),calleamistad,calleamistad,UCM6EuHUr9hviEQ50o-eCdSA,Issue,,,3,7,0
Smart Belt: The World's Most Comfortable Belt !,Ellen,1961,,Type 3 68/na,smartestbelt,,smart.belt.top,,Done,,,3,68,0
xDroid,Church,223,14,Type 3 67/na,xdroid.inc,,,UCWtcAkH8T_8eFtKILQIsmRg,Done,In Progress,,3,67,0
Union Street Choir V.1,Church,1545,,Type 3 67/na,"EmpiresComics, unionstchoir, BenCSchwartz (p), Nooligan",,"nooligan, unionstchoir",,In Progress,,,3,67,0
Protean 8x2: Affordable & Arduino Programmable Power Control,Ellen,835,14,Type 3 63/na,adam.humphreys.3975 (p),adamlhumphreys,,adamlhumphreys,In Progress,,,3,63,0
Blue Valkyrie #1 - A Sci-fi Action Comic,Jessica,1476,,Type 3 63/na,nocturnalproductionsllc,"ramandakaye
kradeelav
the_philossus",,,Done,,,3,63,0
Scalpers Web-Series,Rosie,573,7,Type 3 62/na,"TresGatosTV
rhpooley (p)",tresgatostv,tresgatostv,TresGatosProductions,In Progress,,No Tweets. No Instagram posts,3,62,0
The Out-of-Office Calendar,Church,1752,,Type 3 60/na,ooocalendar,"GoodDsgnAdvice, ooocalendar, JasonBacher",ooocalendar,,Done,,,3,60,0
BootyChaps,Church,74,5,Type 3 6/na,bootychaps,bootychaps,bootychaps,,Done,In Progress,,3,6,0
Plant The Seed Project Summer Camp,Jess,394,1,Type 3 6/na,PlantTheSeedProject,,,,Done,,,3,6,0
Sports Countdown Calendars,Church,445,13,Type 3 6/na,sportscountdowncalendars,,,,Done,,,3,6,0
Face Without a Name,Jessica,449,12,Type 3 6/na,salemphoto (p),,"salemknyc
artishelping",,In Progress,,,3,6,0
All Things Cancer Podcast,Rosie,762,13,Type 3 6/na,,friedonation,,,Done,,,3,6,0
Debut Book: Probation Officer to Psychic Medium,Ellen,970,13,Type 3 6/na,hopeinspiredbychristi,thechristiahl,christi_ahl,cagirloneastside,In Progress,,,3,6,0
Melapix,Lauren,1260,12,Type 3 6/na,chiquedesign1,chiquedesign1,chiquedesign1,,Done,,,3,6,0
Petition Sweden to Recognize Badin as a Prince,Lauren,1269,2,Type 3 6/na,ericcmbasiralltforsverige,theblackrhino77,blackrhinoillustration,TheBlackRhino007,In Progress,,,3,6,0
Operation Phoenix,Lauren,1358,7,Type 3 6/na,operationphoenixfilm; FireFly-Film-Video-162325210486051,firefly_film,,,Done,,,3,6,0
Nerdaties needs your help to entertain you,Joseph,1422,,Type 3 6/na,Nerdaties,Nerdaties,,,Done,,,3,6,0
The Absent Knight: A Batman Fan Film,Joseph,1482,,Type 3 6/na,TheAbsentKnightfanfilm,,,,Done,,,3,6,0
Classroom CPR - bringing life back into the classroom!,Ellen,1557,,Type 3 6/na,classroomcpr,classroomcpr,classroomcpr,,Done,,,3,6,0
"CryptoTestament, Encrypted device to secure digital legacies",Ellen,1684,,Type 3 6/na,cryptotestament,CryptoTestament,,,Done,,,3,6,0
Bobbins'- Creative Workshops,Lauren,1898,,Type 3 6/na,Iris-Couture-For-all-your-Sewing-Needs-North-Somerset-Based-Seamstress-1428757107356038,lcstringer84,,,,,,3,6,0
Black Insomnia The World's Strongest Coffee comes to the USA,Rosie,1936,,Type 3 6/na,"sean.kristafor (p)
blackinsomniacoffee","blackinsomniasa
seandkristafor",blackinsomniasa,UC0bbHqeHyRLMCsU3ygYqHCA,In Progress,,,3,6,0
"""Mundials 2016"" / BJJ Photobook",Ellen,2024,,Type 3 6/na,Mundials2016,,,,Done,,,3,6,0
Lets Make Vinyl Together,Rosie,2046,,Type 3 6/na,"Thin-Films-115809708438546
dan.mcrae.33 (p)",,,,In Progress,,,3,6,0
"Nashville Jacket: Breathes when warm, insulates when cold",Jessica,2131,,Type 3 6/na,ljholidayclothiers,LjholidayLLC,,,,,,3,6,0
The ARX Boxer Briefs - Boxer Briefs That NEVER Bunch Up,Jessica,2142,,Type 3 6/na,221btactical,221btactical,221btactical,"221B Resources, LLC",In Progress,,,3,6,0
A Home of Our Own: Tucson's Mid-Century Homes Then and Now,Rosie,2166,,Type 3 6/na,"FarleyforAZ
SteveFarleyAZ (p)",stevefarleyaz,,,In Progress,,,3,6,0
Avias Radiation-shielded Leather Cell Phone Wallet Case,Ellen,949,14,Type 3 58/na,avias.co,avias_co,avias.co,,Done,,,3,58,0
Shinny - The Card Game,Church,1485,,Type 3 58/na,shinnycup,,,,Done,,,3,58,0
Gore Shriek Vol. 3 #0.5 - Ultra Deluxe Chronicles issue,Joseph,881,13,Type 3 57/na,"GoreShriekComic, fantacopublications",,,,Done,,,3,57,0
Love Cthulhu III,Church,1148,1,Type 3 57/na,jimiyoart,,jimiyodotcom,,Done,,,3,57,0
Taji's New Record - Becoming Me EP,Church,594,11,Type 3 56/na,tajimusic,,taji_music,tajimusic,In Progress,,,3,56,0
Joker and the Thief: Dystopia Playing Cards,Rosie,1865,,Type 3 55/na,jtplayingcards,joker_thief,jtplayingcards,CardDeckReviews1,In Progress,,,3,55,0
Travel Washer Toss,Lauren,807,9,Type 3 54/na,maplewoodgames,maplewoodgames,maplewoodgames,UCE2DwwYhEW2nJFzhG_1QEVQ,In Progress,,,3,54,0
Chicken Fried Cthulhu: A Skelos Press Anthology,Ellen,1441,,Type 3 54/na,"chickenfriedcthulhu, skelospress",SkelosPress,,,,,,3,54,0
BOOMPHONES: World's Most Advanced Headphone Speaker Hybrid,Ellen,1726,,Type 3 54/na,boomphones,boomphones,boomphones,BoomPhones,In Progress,,,3,54,0
Dusty Blue Album,Rosie,481,11,Type 3 51/na,"dustybluemusic
yourashlee (p)",,,,In Progress,,,3,51,0
SF - Use your feetâ€_to take the perfect selfie!,Rosie,1287,14,Type 3 51/na,SelfieFeetOfficial,SelfieFeet,selfiefeetOfficial,UCxOUhyPpgCdktmK3CyYG26Q,In Progress,,,3,51,0
Eurovision 2017 Videos,Lauren,1330,7,Type 3 51/na,overthinkingit,overthinkingit,,overthinkit,In Progress,,,3,51,0
Hope Carried: Baby Wraps and Ring Slings that Empower,Church,1845,,Type 3 51/na,hopecarried,hopecarried,hopecarried,,Done,,,3,51,0
Alarmshock,Lauren,454,14,Type 3 50/na,alarmshockltd,alarmshockltd,alarmshock,UCbNLc150GTgD7r-wAFMceyA,In Progress,,,3,50,0
Luxafor,Church,1168,14,Type 3 50/na,luxafor,luxafor,,,Done,,,3,50,0
Philly Solidarity Map,Church,1518,,Type 3 50/na,SolidarityForum,fauxciologist,,,Done,,,3,50,0
The Angel Planner - A Beautiful & Unique New Planner,Rosie,1891,,Type 3 50/na,ilovealistcom,ilovealist_com,ilovealist,,Done,,,3,50,0
Sport Princess,Lauren,336,13,Type 3 5/na,sportprincesses,,,,Done,,,3,5,0
Recycled Copper tree sculptures bonsai style art,Jess,420,1,Type 3 5/na,REsculptured,,,,Done,,,3,5,0
Rooster Boost,Rosie,446,5,Type 3 5/na,BoosterMyRooster,,,,Done,,Has teasing,3,5,0
405 Gamers Starter,Rosie,465,9,Type 3 5/na,405gamers,405Gamers,,,Done,,,3,5,0
South Shore High,Rosie,616,7,Type 3 5/na,asianbostonmg,,,asianboston,In Progress,,,3,5,0
SMART WATER METER WITH LEAK PROTECTION,Church,669,14,Type 3 5/na,intellecy,intellecyinc,intellecy,UCBUBqrxwdZyoqpDFRu86xRg,In Progress,,,3,5,0
Super Plexis,Rosie,726,9,Type 3 5/na,,medleystudio,medleystudio,,Done,,,3,5,0
"
Country Chic Sign Making Studio",Church,815,1,Type 3 5/na,Country-Chic-Custom-Designs-497452507027137,,,,Done,,,3,5,0
Aprovecho Community Commercial Kitchen,Ellen,912,8,Type 3 5/na,"AprovechoEdu, Aprovecho (p)",AprovechoEd,,AprovechoFilms,In Progress,,,3,5,0
World's Punniest,Lauren,1040,9,Type 3 5/na,"worldspunniest, Worlds-Punniest-Hardcore-Pun-Card-Game-1491346507770617",,,UCLgTpE0-BKkdBi2azVrUw3Q,In Progress,,,3,5,0
Dropping Deuces,Lauren,1046,9,Type 3 5/na,droppingdeucesgame,deuces_dropping,thedroppingdeuces,,Done,,,3,5,0
The regular life of a Hormone,Ellen,1059,7,Type 3 5/na,TrLoAH,isaicanimador,calebdabro,UCVBNDbKI6tpunMkwzZZVhOw,In Progress,,,3,5,0
Anchor & Raid,Rosie,1238,6,Type 3 5/na,,AnchorandRaid,anchorandraid,,Issue,,Won't Scrape Twitter,3,5,0
The Organic Lens,Lauren,1286,10,Type 3 5/na,juliakayphotography,,the.organic.lens,,Done,,,3,5,0
Alaska Glacial Iceberg Harvesting,Jessica,1499,,Type 3 5/na,Alaskaglacialice,,lindquists,,Done,,,3,5,0
Cluck n' Pluck,Jessica,1517,,Type 3 5/na,Cluck-n-Pluck-llc-984002561653602,,,,,,Won't scrape Facebook,3,5,0
The Witch Cult - A dark fantasy survival PC game,Ellen,1566,,Type 3 5/na,1.86961E+14,,,,Done,,,3,5,0
Synoptik - Stay informed,Church,1733,14,Type 3 5/na,Synoptik,SynoptikApp,,,Done,,,3,5,0
La Press. Helps You! The Environment! The World!,Ellen,1750,,Type 3 5/na,"LaPressSoap, 762879263876346",PHSAofBC,,ProvHealthServAuth,In Progress,,,3,5,0
SCARAMOUCHE JONES'' by Justin Butcher,Ellen,1776,,Type 3 5/na,,tino_orsini,tinoorsini,hollywood7ism,In Progress,,Instagram wont scrape - may have not posted during campaign date,3,5,0
Vegan Chocolate Shop Signage,Church,1836,,Type 3 5/na,TEFantasyChocolate,ThinkingElvish,tefantasychocolate,,Done,,,3,5,0
"Aerez: Parental Controls, Internet & Device Management.",Church,1838,,Type 3 5/na,AerezNet,AerezNet,,UC3_2nGDAZ9Hm8mn3q--LX0w,In Progress,,,3,5,0
Disability Betty,Ellen,1916,,Type 3 5/na,,disabilitybetty,,,Done,,,3,5,0
"Nancy Northrup Singer/Songwriter new CD. ""Phoenix Rising""",Rosie,2084,,Type 3 5/na,SlackInTheChain,,,,Done,,,3,5,0
MATEÂ® Premium Cocktail Mixers â€“ For Your Spirits!,Rosie,2270,8,Type 3 5/na,,matemixers,matemixers,,In Progress,,,3,5,0
Real Mermaids Smoke Seaweed,Lauren,DELETED,1,Type 3 5/na,,,smokingsirensupllyco,,In Progress,,,3,5,0
Spidersilk Comic Volume 2 (Twitter not scraping),Church,910,2,Type 3 49/na,"alakotila.art, spidersilkcomic",alakotila (NOT SCRAPING),,,Issue,,,3,49,0
CHILLING TALES FOR DARK NIGHTS,Church,615,7,Type 3 48/na,"chillingtalesfordarknights, jesse.cornett.9 (p)",jessecornett667,,"vtv, chillingtaleswi",In Progress,,,3,48,0
Unscene Patrol,Church,249,11,Type 3 47/na,ScenicRock,"kevintmcclure, ScenicRock",,UnscenePatrolTV,In Progress,,,3,47,0
APlay PULSE Wireless Earbuds,Lauren,477,14,Type 3 47/na,naininc,,,,Done,,,3,47,0
The North Shield: A city under siege,Ellen,1416,,Type 3 47/na,thenorthshieldcanada,NorthShield01,,,Done,,,3,47,0
Valerie Mae's,Ellen,1964,,Type 3 47/na,torchymaes,,,,,,,3,47,0
RockDolly: The All-in-One Solution for Live Sound,Ellen,999,14,Type 3 46/na,ROCKDOLLYEQUIPMENT,REALROCKDOLLY,rockdollyequipment,,Done,,,3,46,0
Kai - Turn any pair of Glasses into Smart Glasses!,Rosie,1108,14,Type 3 46/na,,glimpsewearable,,,Done,,,3,46,0
FutuReality Comic Book Issue 1,Joseph,1184,2,Type 3 46/na,FutuReality,FutuRealityCB,mycomicgrader,UCfrypqKM7M-spysLMbTooVQ,In Progress,,Twitter does not have tweets within campaign,3,46,0
The World Upside Down: Portraits,Jessica,190,12,Type 3 45/na,LeeSmathersPhotography,photoevangelist,,,Done,,,3,45,0
Townsend Family Organic Farms,Church,2115,,Type 3 45/na,TFOFKeyWest,MarjorieTowns11,mdfidelia,,Done,,,3,45,0
Gluten-Free Cookbook,Church,231,13,Type 3 44/na,"fourspoonsglutenfreerecipes (b), nicole.knegt.5 (p)",,fourspoonsgf,fourspoonsgf,In Progress,,,3,44,0
Come Home Jeremiah,Church,439,11,Type 3 44/na,"jeremiah.creiglow (p), jeremiahcreiglowmusic",jeremojkc,,UCe7Gay0LAEUYNTUeNEwloCw,In Progress,,,3,44,0
Put It Down On Me - Music Video,Ellen,1925,,Type 3 44/na,therealtinah,,therealtinah,,Done,,,3,44,0
H.O.N.K. The Graphic Novel,Ellen,2170,,Type 3 44/na,HONKthegraphicnovel,,,,Done,,,3,44,0
The Flying Joe Coffee Truck,Church,256,8,Type 3 43/na,theflyingjoe,theflyingjoe,theflyingjoe,,Done,In Progress,,3,43,0
Days After Your Departure,Lauren,346,13,Type 3 43/na,Joekenneth-1757103804552289,joekenneth_,joekenneth_,,Done,,,3,43,0
Forbidden Explorers,Jess,412,7,Type 3 43/na,forbiddenexplorers,forbdnexplorers,forbiddenexplorers,TheProperPeople,In Progress,,,3,43,0
The Narrative Lectionary Painting Project,Lauren,1763,,Type 3 43/na,DrawnToTheWordPaulOmanFineArt; NarrativeLectionaryPaintingProject; paul.oman2 (p); StevenPThomason (p),pauloman_artist; stevepthomason,,PaulOmanFineArt,In Progress,,,3,43,0
LA LAKERS Inspired Sports + Lifestyle Jewelry for the Fans,Ellen,2000,,Type 3 43/na,ViyariSport,viyarisport,,,Done,,,3,43,0
Critter Volume 5: After the Rain Hardcover and Paperback,Ellen,2140,,Type 3 43/na,"thomashutchison (p), bigdogcomics",tjhbigdogink,crittersdaddy,,Done,,,3,43,0
Spooky Things: The Art of Chris Raimo,Ellen,1551,,Type 3 42/na,chrisraimoartfan,chrisraimoart,itschrisraimo,,Done,,,3,42,0
The Modern Prometheus,Church,1641,15,Type 3 42/na,themodernprometheus2017,,,,Done,,,3,42,0
Hooded Warbler - Hoodscarves,Joseph,1725,,Type 3 42/na,3.74865E+14,HoodedWarblerUS,hoodedwarblershop,,Done,,,3,42,0
The Cool Waters Band's 8th Studio Album,Church,219,11,Type 3 41/na,Cool-Waters-Band-179301573456,coolwatersband,coolwatersband,UCVOurcMbwZLUcT2uVp3l5Tg,In Progress,,,3,41,0
The Land of Lost Content,Church,1179,13,Type 3 41/na,,mrpatrickfry,mrpatrickfry,,Done,,,3,41,0
Couple Things: A Series of 101 Still Lifes (Cartoons),Lauren,2291,13,Type 3 41/na,,kiplyall,,,Done,,,3,41,0
Behind the Rose,Lauren,1088,9,Type 3 40/na,behindtherose,behindtroserpg,,UCZeRFehA38GN-sZJFntxNcQ,In Progress,,,3,40,0
The Brownies' Book,Church,1301,13,Type 3 40/na,"jessica.simone.391 (p), thebrowniesbook",thebrowniesbook,thebrowniesbook,,Done,,,3,40,0
Bike Trainer by ChessFit- the most fun you'll have biking,Church,1436,,Type 3 40/na,ChessFit,,,,Done,,,3,40,0
OneSoles: The Ultimate Customizable Insoles,Rosie,1860,,Type 3 40/na,arnab1232 (p),onesoleshoes,,,In Progress,,,3,40,0
myButt,Rosie,335,3,Type 3 4/na,myButtLid,mayormcfrumples,,,Done,,,3,4,0
The Downeaster Theatre,Rosie,475,15,Type 3 4/na,thedowneastertheatre,the_downeaster,,,Done,,,3,4,0
Blue Heaven,Lauren,503,9,Type 3 4/na,,brainwormgames,,,Done,,,3,4,0
12 Days With God,Rosie,545,7,Type 3 4/na,12DaysWithGodMovie,,,,Done,,,3,4,0
The Amaranth Murders,Rosie,554,9,Type 3 4/na,"bookshopmedia
comic.writer (p)","bookshop_media
spidertaz",,,In Progress,,,3,4,0
Imagery and artwork inspired by Mexican Tradition,Church,598,1,Type 3 4/na,MLueraCollections,,mlueracollections,,Done,,,3,4,0
Ivory Chronicles,Rosie,621,13,Type 3 4/na,IvoryChronicles,ivorychronicles,,,Done,,,3,4,0
Pillow Zombies,Rosie,1080,9,Type 3 4/na,pillowzombies,"GrrStudios
gpono",grrstudios,,Done,,,3,4,0
Golf Guardian,Church,1173,9,Type 3 4/na,GolfGuardian,,,,Done,,,3,4,0
Expansion of Whitehorse Brewing,Lauren,1222,8,Type 3 4/na,whitehorsebrewingllc,whitehorsebrews,whitehorsebrewing,,Done,,,3,4,0
ODDBALL,Lauren,1300,9,Type 3 4/na,,oddball_game,,,Done,,,3,4,0
The Royal Rumpus and the Day the Pink Hats Marched,Church,1430,,Type 3 4/na,lucreziapierro,lupierro,,,Done,,,3,4,0
Cocktails & Coloring - Adult Coloring Book,Ellen,1996,,Type 3 4/na,Infinitecolorsolutions,,,,Done,,,3,4,0
Ballet d'Hommes,Ellen,2022,,Type 3 4/na,BalletdHommes,Balletdhommes,,,Done,,,3,4,0
Kids Zone start up,Rosie,2044,,Type 3 4/na,daycareahomeawayfromhome,,,,Done,,,3,4,0
Lee Abbott's Santa Barbara Flavor Elixirs,Jessica,2116,,Type 3 4/na,tastingtalk,,abbottlee,,,,,3,4,0
Chick Fights In Space,Rosie,2194,,Type 3 4/na,"cherie.julander (p)
chickfightsinspace",chickfights,cljoules,,In Progress,,,3,4,0
ManeuverBuddy,Ellen,2217,,Type 3 4/na,ManeuverBuddy,maneuverbuddy,,,Done,,,3,4,0
MyPlug | The First THEFT-PROOF Charging Cable Ever Made!,Rosie,2220,,Type 3 4/na,"myplugcable
nick.muradian (p)",myplugcable,,,In Progress,,,3,4,0
Clutch,Joseph,2253,,Type 3 4/na,basketballforever,,,,Done,,,3,4,0
Little Birdie Love,Rosie,760,6,Type 3 39/na,"mommaloveswaddles
littlebirdieloves",,"mommalovemommas
littlebirdieloves",,Done,,,3,39,0
Exclusive without exception.,Ellen,2045,,Type 3 39/na,AmberJewelry1,kordasco,,,Done,,,3,39,0
Survive a Tiger Attack : A thrilling card game,Rosie,2242,,Type 3 39/na,Ideas2lab,Ideas2Lab,,,Done,,,3,39,0
Spanish Handcrafted MenÂ´s Shoes,Church,432,6,Type 3 38/na,valbencollection,,valbenshop,,Done,,Had a private twitter account; dumb,3,38,0
Marley B' Jam'n,Church,1090,8,Type 3 38/na,"marleybjamn, dana.p.armour (p)",baconbjamn,baconbjamn,UCwOK7-THxyK9Ae63pfAdC4g,In Progress,,,3,38,0
"Riders Ford new album ""Second Half Life""",Church,1534,,Type 3 38/na,ridersford,,,,,,,3,38,0
Print Sir Pigglesworth,Church,1677,13,Type 3 38/na,SirPigglesworth,authorjojo,,,Done,,,3,38,0
Dollhouse Vol 2: Haunted Gospels Book,Jessica,109,2,Type 3 37/na,raynadineart,rayrayinspace,,,In Progress,,,3,37,0
