id,postUrl,message,cta,intents
156854,https://twitter.com/gregorybayne/status/847524199115628545,"""What brings me here to night is the story of theft, intrigue, betrayal, and the missing sum of 2 million dollars.""â€_ https://t.co/0d9c0kexg2",,
156855,https://twitter.com/gregorybayne/status/847520357334499328,On your final day of kickstarting you go straight from coffee to wine.,,
156856,https://twitter.com/gregorybayne/status/847517268460294144,So true it bears repeating. Thank you @LafleurJennifer &amp; @PartridgeRoss for seeing (and enhancing) the vision forâ€_ https://t.co/gYyPZ6ysVM,,
156857,https://twitter.com/gregorybayne/status/847511697623367680,"Nail biter! $33,068 pledged of $44,000 goal â€¢ 243 backers â€¢ 11 hours to go for #6DynamicLaws on @kickstarter! https://t.co/8XR3b713Wv",,
156858,https://twitter.com/gregorybayne/status/847507364659867648,Thank you so much! https://t.co/0v8LHZcD8J,,
156859,https://twitter.com/gregorybayne/status/847485152070467587,Deadline Midnight Tonight for #6DynamicLaws! Back this #noir #comedy on @Kickstarter #SupportIndieFilm https://t.co/8XR3b713Wv,,
156860,https://twitter.com/gregorybayne/status/847478473371209728,DO OR DIE TIME! #6dynamiclaws! Pledge your support kickstarter Link in my profile. #filmmakingâ€_ https://t.co/IfUEmu1ctk,,
156861,https://twitter.com/gregorybayne/status/847465406033870848,Here we go friends!14 hrs to go. $12K to raise to meet our all-or-nothing goal for #6DynamicLaws Join us here: https://t.co/8XR3b713Wv,,
156862,https://twitter.com/gregorybayne/status/847441433145376768,RT @shackett: La La Fleur @LafleurJennifer https://t.co/sORzpDG9iV,,
156863,https://twitter.com/gregorybayne/status/847330977894379521,In official do or die time. #24hours #comedy #noir #kickstarter #6dynamiclaws #SupportIndieFilm https://t.co/8XR3b713Wv,,
156864,https://twitter.com/gregorybayne/status/847304776878505986,RT @LSue23: A #FilmNoir &amp; comedy! #SupportIndieFilm &amp; you'll get much more! @FirstGlanceFilm @filmnoirreviews @IndieFilmDrama @SunshineBoyPâ€_,,
156865,https://twitter.com/gregorybayne/status/847303345211494402,"@lmcnelly Thanks for sharing, my friend.",,
156866,https://twitter.com/gregorybayne/status/847303212939988992,"UPDATE! $525 from meeting $1000 bonus pledge challenge! Love cinema, like to laugh? Do we have a deal for you! https://t.co/8XR3b713Wv",,
156867,https://twitter.com/gregorybayne/status/847294525345120256,"$725 away from the short term midnight goal &amp; $12,859 away from GOOOOAAALLLL. All over midnight tmrw #6DynamicLaws https://t.co/8XR3b713Wv",,
156868,https://twitter.com/gregorybayne/status/847285678996045824,$825 more pledged by midnight we get a $1K bonus pledge. Every dollar counts in these final hours for #6DynamicLaws https://t.co/8XR3b713Wv,,
156869,https://twitter.com/gregorybayne/status/847274318253834240,"We've been challenged again! We need to raise another $930 by midnight PT and we receive a $1,000 bonus pledge! https://t.co/8XR3b713Wv",,
156870,https://twitter.com/gregorybayne/status/847244994268119041,Livestreaming now! https://t.co/EjNxy0VpfJ,,
156871,https://twitter.com/gregorybayne/status/847228906834870272,"The #6dynamiclaws Telethon Studio! Live at 8pm ET! 216 Backers Strong, $13,679 left to raise,â€_ https://t.co/WjwhUhO0Yg",,
156872,https://twitter.com/gregorybayne/status/847188338008182784,@TracyHeldPotter @robot_eva @filmindependent Thank you!,,
156873,https://twitter.com/gregorybayne/status/847186139303690240,@TracyHeldPotter @robot_eva @filmindependent Thabks for sharing!,,
156874,https://twitter.com/gregorybayne/status/847178476217970688,210 Backers &amp; over $30K pledged! Thank you! 33 hours to go for #6DynamicLaws! #allornothing #SupportIndieFilm https://t.co/8XR3b713Wv,,
156875,https://twitter.com/gregorybayne/status/847156407736590336,"209 backers strong. $29,951 pledged of $44K goal. 35 hours &amp; minutes to go for #comedy #noir #6DynamicLaws! https://t.co/8XR3b713Wv",,
156876,https://twitter.com/gregorybayne/status/847143311127199744,Love @ifpfilm. Love Film Week. Highly recommend applying. https://t.co/PEb5xMa3Qn,,
156877,https://twitter.com/gregorybayne/status/847142243081211904,"$229 from $30,000 funded for #6DynamicLaws. 36 hours to go! So, so close, but I'd love your help spreading the wordâ€_ https://t.co/LpMC6R6uv8",,
156878,https://twitter.com/gregorybayne/status/847134808379576320,"206 Backers Strong, 67% funded,$14,379 left to raise, 36 hours to go! You in for #6dynamiclaws?â€_ https://t.co/plaWnfUtCY",,
156879,https://twitter.com/gregorybayne/status/846963533376053248,"And, we did it! Bonus pledge achieve! TY everyone. Still 48 hrs &amp; $18K to go to completely fund #6DynamicLaws! https://t.co/8XR3b6Jt4X",,
156880,https://twitter.com/gregorybayne/status/846959550368534528,#6DynamicLaws is just $20 from receiving a $2500 bonus pledge to complete &amp; release this film! #SupportIndieFilm https://t.co/8XR3b6Jt4X,,
156881,https://twitter.com/gregorybayne/status/846954428473266176,"$224 from receiving $2,500 bonus pledge for our #noir #comedy #6DynamicLaws Must reach the goal in the next 44 mins. https://t.co/8XR3b6Jt4X",,
156882,https://twitter.com/gregorybayne/status/846951171982086144,@LSue23 @TheNoirZone @TheFilmNoirGuy @noirlosangeles Thanks for sharing!,,
156883,https://twitter.com/gregorybayne/status/846951096937598978,"RT @LSue23: A #FilmNoir of murder, betrayal, intrigue &amp; self improvement! #SupportIndieFilm @TheNoirZone @TheFilmNoirGuy @noirlosangeles htâ€_",,
156884,https://twitter.com/gregorybayne/status/846950702500990977,"Yes, please! https://t.co/rzkzRQgpQa",,
156885,https://twitter.com/gregorybayne/status/846941277295824897,1 goal down! 26 new backers for #6DynamicLaws! Just $624 from a full $2500 bonus if we hit it in the next 1.5 hrs. https://t.co/8XR3b713Wv,,
156886,https://twitter.com/gregorybayne/status/846932175672885248,RT @billfishkin: Oh hell yes. https://t.co/accNFhT0yj,,
156887,https://twitter.com/gregorybayne/status/846928323808714752,"@ladufurrena Thank you, @ladufurrena!",,
