score,word
132,i
121,we
106,you
106,in
104,this
102,kickstarter
101,with
100,for
75,our
66,out
61,rt
48,about
48,live
45,your
45,have
41,clonsters
40,my
36,new
36,dream
35,now
35,will
34,time
33,book
32,from
32,make
32,day
31,all
31,more
30,us
29,get
29,were
29,me
29,loud
27,one
25,help
25,u2
24,love
23,do
22,no
21,here
21,them
21,need
20,amp
20,great
20,campaign
19,via
19,there
19,want
19,world
19,film
18,story
18,made
17,they
17,see
17,going
17,well
17,has
17,who
17,novel
17,amy
16,adventure
15,check
15,some
15,had
15,he
15,know
15,graphic
15,pledge
15,nnhttpkckst2qm1pwl
14,im
14,dont
14,up
14,look
14,first
14,comic
14,go
14,music
14,pm
13,next
13,wallet
13,touch
13,3dprinting
13,been
13,please
13,come
13,fun
13,real
13,allages
13,dotsloops
13,fans
12,days
12,still
12,hours
12,best
12,would
12,also
12,seen
12,art
12,then
12,other
12,today
12,meets
12,aaahh
12,awesome
12,back
11,astrobox
11,years
11,ive
11,set
11,too
11,which
11,monsters
11,vanessa
11,2
11,nomercygame
10,share
10,20
10,link
10,3d
10,year
10,most
10,support
10,5
10,cant
10,beautiful
10,life
10,young
10,lot
10,happen
10,two
10,concert
10,special
10,dreamoutloud
10,eastern
10,february
9,available
9,friends
9,after
9,read
9,video
9,excited
9,think
9,goal
9,thats
9,each
9,people
9,little
9,fiance
9,comics
9,super
9,every
9,modern
9,2017
9,tell
9,1
9,10
9,over
9,wwwdreamoutloudfilmcom
9,riplcom
9,houdiniopoly
8,wait
8,got
8,apex
8,good
8,3
8,only
8,even
8,because
8,while
8,facebook
8,makes
8,though
8,talk
8,family
8,cartoons
8,really
8,many
8,hope
8,thank
8,launch
8,philip
8,watch
8,u2fanfilm
8,strap
7,cool
7,last
7,4
7,these
7,yes
7,few
7,better
7,print
7,funded
7,than
7,did
7,amazon
7,doing
7,looking
7,his
7,tomorrow
7,her
7,until
7,heres
7,artist
7,amazing
7,90s
7,hey
7,pitch
7,coming
7,she
7,early
7,fan
7,something
7,everyone
7,bird
7,season
7,brand
7,written
7,gmt
7,openculture
7,andyswan
7,multivarious
6,wanted
6,lifetime
6,already
6,before
6,looks
6,questions
6,idea
6,could
6,stuff
6,their
6,thing
6,right
6,yeah
6,sheaserrano
6,any
6,might
6,books
6,kids
6,both
6,published
6,sure
6,patshand
6,fund
6,project
6,enthusiasm
6,lets
6,youre
6,series
6,entire
6,instagram
6,those
6,unique
6,own
6,illustrated
6,cardinali
6,through
6,left
6,patch
6,nonsemble
6,trio
6,stories
6,pacific
5,ever
5,hot
5,click
5,crowdfunding
5,off
5,thanks
5,printing
5,visit
5,ago
5,weve
5,design
5,way
5,animation
5,ill
5,b
5,theres
5,say
5,trying
5,down
5,mark
5,youll
5,ha
5,why
5,works
5,page
5,reader
5,didnt
5,should
5,god
5,katy
5,exciting
5,minutes
5,money
5,talking
5,readers
5,let
5,wow
5,believe
5,shand
5,same
5,being
5,exclusive
5,night
5,raise
5,find
5,6
