score,word
119,rt
71,kickstarter
66,clonsters
52,for
47,out
34,check
32,you
31,this
31,allages
28,patshand
25,in
25,our
24,comic
23,i
21,shand
20,new
20,we
19,book
19,amy
19,adventure
17,your
17,with
17,amp
16,my
16,pat
15,from
14,thanks
14,us
14,were
14,graphic
14,novel
13,give
13,kids
12,support
12,get
12,about
11,up
11,all
10,some
10,hey
10,backed
10,game
10,multivarious
9,wallet
9,love
9,project
9,too
9,sheaserrano
9,bedtime
9,better
9,back
8,have
8,help
8,making
8,im
8,trying
8,vanessa
8,cardinali
7,link
7,httpst
7,reading
7,their
7,granfors
6,cool
6,apex
6,now
6,think
6,one
6,news
6,friends
6,httpstcofxwejgi7ud
6,material
6,ericaschultz42
6,no
6,httpstco
6,ages
5,themstrmnd
5,good
5,little
5,make
5,piece
5,goal
5,hours
5,press
5,live
5,page
5,basketball
5,thank
5,there
5,fun
5,time
5,please
5,art
5,gyrating
5,hamsters
4,great
4,ht
4,should
4,astroprint3d
4,astrobox
4,way
4,touch
4,3
4,before
4,httpstcohgz69ipknd
4,come
4,childrens
4,here
4,did
4,sure
4,parents
4,much
4,write
4,people
4,every
4,doesnt
4,could
4,will
4,continuityent
4,me
4,https
4,epanel
4,comicfrontline
4,has
4,meets
4,free
4,mercy
3,already
3,10
3,20
3,next
3,3dprinting
3,raspberrypi
3,guys
3,first
3,print
3,whats
3,best
3,release
3,story
3,funded
3,awesome
3,interview
3,b
3,wrote
3,really
3,big
3,sharing
3,heres
3,made
3,dont
3,alphabet
3,basketballloving
3,even
3,lavar
3,ball
3,he
3,than
3,moms
3,dads
3,marcelluswiley
3,word
3,only
3,left
3,campaign
3,looks
3,author
3,creator
3,fans
3,spotlight
3,tonight
3,amyshand
3,930
3,pm
3,currently
3,bleedingcool
3,aaahh
3,real
3,monsters
3,went
3,message
3,secret
3,code
3,fantasy
3,nnhttpstcobtsdvdqopr
3,comics
3,youre
3,loud
3,u2
3,going
3,lets
3,games
3,review
3,gyratinghamster
2,rfidproof
2,via
2,latest
2,tchrisburns
2,over
2,wed
2,chat
2,slim
2,life
2,survcotactical
2,t
2,chuckhellebuyck
2,nice
2,got
2,find
2,website
2,likely
2,relevant
2,tinkercad
2,very
2,sent
2,wanna
2,morning
2,might
2,runs
2,see
2,launch
2,baller
2,dude
2,needs
2,wrldsoccershop
2,scores
2,todays
2,ucl
2,semifinal
2,well
2,away
2,pair
2,nike
2,cleats
2,kpelton
2,need
2,halftime
2,ballers
2,weartesters
2,they
2,helped
2,trenches
2,yo
2,hate
2,nightwing2303
2,jam
2,mshipley24
2,letter
2,helping
2,parent
2,httpstco2o1qks5qko
2,learn
2,players
2,right
2,dad
2,add
2,appreciate
2,featuring
2,mailman
2,shooting
2,shot
2,chance
2,lovable
2,youll
2,order
2,go
2,firstlegacycmx
2,reach
2,meet
2,hope
2,russellnohelty
2,wannabepress
2,why
2,success
2,michaeljnimmo
2,aiptcomics
2,bring
2,questions
2,et
2,super
2,w
2,tuesday
2,night
2,httpstcoirbjis4iyg
2,htt
2,geekcastradio
2,fantastic
2,attention
2,world
2,aw
2,yeahnnkickstarter
2,selected
2,larryewattsart
2,certainly
2,launches
2,indiecomics
2,adventuretime
2,ahhrealmonsters
2,http
2,beautiful
2,today
2,friend
2,bleeding
2,article
2,destiny
2,nys
2,manuel
2,preitanonnfundclonsters
2,jonathan
2,hot
2,film
2,dreaming
2,dreamoutloud
2,australia
2,join
2,top
2,below
2,board
2,tabletop
2,etboardgames
2,hear
2,in2thereview
2,prints
2,brawler
2,httpstcotvg4twl2js
2,gamejolt
2,mithicalent
2,demo
2,nomercy
2,party
1,webstrands
1,httpstco3ab904c4hx
1,httpstco7eomjlobus
1,intengineering
1,engineers
1,httpstconexbypvs4n
1,mikechale
1,looking
1,forward
1,getting
1,httpstco8vomkaizen
1,httpstcouc26zacppw
1,saedelaere
1,crowdfunding
1,httpstcoblyd7f4qsz
1,httpstconpc8huligz
1,garrickwest
1,promoting
1,version
1,httpstcow3s4aqjlv4
1,wirejunky
1,available
1,preorder
1,httpstcoerdgyxvyzh
1,just1moretry
1,update
1,httpstcoowrzvr8xzz
1,presenting
1,dropped
1,sweet
1,tip
1,slashgear
1,consideration
1,httpstcowilmwujwci
1,danieltpearson
1,do
1,would
1,fit
1,highsnobiety
1,thoughts
1,httpstcoq6eln53f42
1,thegadgetflow
1,httpstcorjyfoq4sce
1,modern
1,features
1,improve
1,lif
1,zerofuckscoin
1,picked
1,badass
1,httpstcougccqqng5o
1,volfan1983xxx
1,gifts
1,touchofmodern
1,always
1,been
1,fan
1,fabbaloo
1,honor
1,covered
1,general
1,himself
1,codanny
1,software
1,missing
1,tech
1,adoption
1,rescue
1,httpstco5irhqikqgz
1,thejatmn
1,racetoh2
