"id","handle","postDate","postType","postUrl","imageUrl","source","sourceId","message","hashtag","cta","paid","comments","shares","likes","views","dislikes","interview","survey","notes","createdAt","updatedAt","CampaignId","intents"
156811,"gregorybayne","""2017-03-31T16:07:51.000Z""","photo","https://twitter.com/gregorybayne/status/847842888566185985","http://pbs.twimg.com/media/C8Qkl_TUQAAahrC.jpg","twitter","847842888566186000","Just a big, warm THANK YOU! from team #6DynamicLaws! https://t.co/N8so2PMQuo","6DynamicLaws",,,,0,2,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156812,"gregorybayne","""2017-03-31T15:57:30.000Z""","post","https://twitter.com/gregorybayne/status/847840286138970112","","twitter","847840286138970100","@ladufurrena Thank you!","",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156813,"gregorybayne","""2017-03-31T05:55:01.000Z""","post","https://twitter.com/gregorybayne/status/847688663605444608","","twitter","847688663605444600","@wildiris05 So grateful. Very kind of you.","",,,,0,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156814,"gregorybayne","""2017-03-31T05:54:34.000Z""","post","https://twitter.com/gregorybayne/status/847688552083095553","","twitter","847688552083095600","@wildiris05 @kickstarter Thank you, Juli!","",,,,0,2,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156815,"gregorybayne","""2017-03-31T05:39:33.000Z""","post","https://twitter.com/gregorybayne/status/847684769970143232","","twitter","847684769970143200","Thank you, my friends for your outpouring of support for #6DynamicLaws. I look very forward to sharing it with you.","6DynamicLaws",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156816,"gregorybayne","""2017-03-31T05:29:43.000Z""","post","https://twitter.com/gregorybayne/status/847682296429793280","","twitter","847682296429793300","Thank you! https://t.co/vaXXrgv48p","",,,,0,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156817,"gregorybayne","""2017-03-31T04:42:44.000Z""","photo","https://twitter.com/gregorybayne/status/847670473533964289","http://pbs.twimg.com/media/C8OHwpFUIAA40TV.jpg","twitter","847670473533964300","Oh my oh my oh my! #6DynamicLaws! https://t.co/cSdWIcaNDv","6DynamicLaws",,,,0,2,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156818,"gregorybayne","""2017-03-31T04:36:52.000Z""","post","https://twitter.com/gregorybayne/status/847668997688500224","","twitter","847668997688500200","Yay! https://t.co/pekTOOfkUM","",,,,0,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156819,"gregorybayne","""2017-03-31T04:44:09.000Z""","post","https://twitter.com/gregorybayne/status/847670828535644161","","twitter","847670828535644200","@AndieRedwine @shackett Thank you Sean, and thank you Andie for being one of our white knights!","",,,,0,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156820,"gregorybayne","""2017-03-31T04:21:33.000Z""","post","https://twitter.com/gregorybayne/status/847665144037494784","","twitter","847665144037494800","$390 from $40,000, at $40K we instantly get a boost to $41K. Join us here to complete #6dynamiclaws https://t.co/8XR3b713Wv","6dynamiclaws",,,,1,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156821,"gregorybayne","""2017-03-31T04:15:06.000Z""","post","https://twitter.com/gregorybayne/status/847663517771603968","","twitter","847663517771604000","We need a hero! So close to hitting our goal for #6DynamicLaws | https://t.co/8XR3b713Wv | https://t.co/r8aFnVXMlx","6DynamicLaws",,,,1,3,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156822,"gregorybayne","""2017-03-31T04:07:45.000Z""","post","https://twitter.com/gregorybayne/status/847661670625198088","","twitter","847661670625198100","Thank you, Marty! https://t.co/ycKQSAlNDf","",,,,0,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156823,"gregorybayne","""2017-03-31T04:05:33.000Z""","post","https://twitter.com/gregorybayne/status/847661114225643520","","twitter","847661114225643500","22 Backers from 300 strong. 114 minutes to go. You've all been so kind. We're almost home. https://t.co/8XR3b713Wv","",,,,1,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156824,"gregorybayne","""2017-03-31T04:03:46.000Z""","post","https://twitter.com/gregorybayne/status/847660669302317056","","twitter","847660669302317000","RT @LSue23: Intrigued by a farcical tale of murder &amp; betrayal? #SupportIndieFilm #FilmNoir @FilmNoir_Fan @TheNoirZone @SunshineBoyProd @The…","SupportIndieFilm,FilmNoir",,,,3,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156825,"gregorybayne","""2017-03-31T03:52:17.000Z""","post","https://twitter.com/gregorybayne/status/847657779057774593","","twitter","847657779057774600","276 backers strong! $4855 left to meet our all-or-nothing goal! If you can, kindly pledge &amp; RT. https://t.co/8XR3b713Wv","",,,,1,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156826,"gregorybayne","""2017-03-31T03:43:02.000Z""","post","https://twitter.com/gregorybayne/status/847655450199834628","","twitter","847655450199834600","Thank you for being such a wonderful contributor. So appreciate all you've done over the years. https://t.co/inqULCKDcr","",,,,0,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156827,"gregorybayne","""2017-03-31T03:37:56.000Z""","post","https://twitter.com/gregorybayne/status/847654164469432320","","twitter","847654164469432300","@shackett @ifpfilm @lmcnelly You are a true gentleman.","",,,,0,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156828,"gregorybayne","""2017-03-31T03:37:44.000Z""","post","https://twitter.com/gregorybayne/status/847654114968219652","","twitter","847654114968219600","@dusty_parachute Thank you, thank you! Love me a kitten emoji.","",,,,0,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156829,"gregorybayne","""2017-03-31T03:37:25.000Z""","post","https://twitter.com/gregorybayne/status/847654036610338821","","twitter","847654036610338800","RT @shackett: Old fashioned Kickstarter rally for  @ifpfilm  labs alum - @gregorybayne people. @lmcnelly you on this?  https://t.co/OnxreAw…","",,,,1,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156830,"gregorybayne","""2017-03-31T03:37:17.000Z""","post","https://twitter.com/gregorybayne/status/847654003299074048","","twitter","847654003299074000","RT @dusty_parachute: Every contribution counts! They're SOOOO close! #indiefilm #supportartists #indie #movie #TheyllThrowInAFreeKitten ???? #…","indiefilm,supportartists,indie,movie,TheyllThrowInAFreeKitten",,,,1,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156831,"gregorybayne","""2017-03-31T03:33:07.000Z""","post","https://twitter.com/gregorybayne/status/847652955096440838","","twitter","847652955096440800","Thanks for being part of #6DynamicLaws! https://t.co/uNtBHnrWEI","6DynamicLaws",,,,0,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156832,"gregorybayne","""2017-03-31T03:26:44.000Z""","post","https://twitter.com/gregorybayne/status/847651349143605248","","twitter","847651349143605200","UPDATE! $5,095 from GOOAAALLLL. 2.5 hrs left. We need you friends. Will you come along for this incredibly fun ride? https://t.co/8XR3b713Wv","",,,,1,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156833,"gregorybayne","""2017-03-31T03:13:46.000Z""","post","https://twitter.com/gregorybayne/status/847648084045713408","","twitter","847648084045713400","@prevailingcity Love ya, brother. Thanks for everything.","",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156834,"gregorybayne","""2017-03-31T03:11:16.000Z""","post","https://twitter.com/gregorybayne/status/847647453855629312","","twitter","847647453855629300","28 Backers from 300 strong for #6DyanmicLaws $6,320 from goal, 2hrs 51min to go! #SupportIndieFilm I'll &lt;3 U 4ever https://t.co/8XR3b713Wv","6DyanmicLaws,SupportIndieFilm",,,,2,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156835,"gregorybayne","""2017-03-31T02:38:02.000Z""","post","https://twitter.com/gregorybayne/status/847639090547773442","","twitter","847639090547773400","The world is a mess, but there's still room for fun. Promise. https://t.co/8XR3b713Wv","",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156836,"gregorybayne","""2017-03-31T02:21:05.000Z""","post","https://twitter.com/gregorybayne/status/847634825779347462","","twitter","847634825779347500",".@bellawonder Thank you for joining team #6DynamicLaws! Glad to have you.","6DynamicLaws",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156837,"gregorybayne","""2017-03-31T02:17:11.000Z""","post","https://twitter.com/gregorybayne/status/847633842844323840","","twitter","847633842844323800","We've been challenged (again!) As soon as we hit 40K we get another $1000 thrown in. We're so close #6DynamicLaws!… https://t.co/RmnHRQf4Wy","6DynamicLaws",,,,3,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156838,"gregorybayne","""2017-03-31T01:46:32.000Z""","post","https://twitter.com/gregorybayne/status/847626132757241856","","twitter","847626132757241900","Join us friends! https://t.co/od2k8tZg7q","",,,,1,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156839,"gregorybayne","""2017-03-31T01:34:13.000Z""","post","https://twitter.com/gregorybayne/status/847623031950254080","","twitter","847623031950254100","264 backers strong! Just over $6,000 to go! 4.5 hours to get it done. Who's with us? #SupportIndieFilm https://t.co/8XR3b713Wv","SupportIndieFilm",,,,3,1,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156840,"gregorybayne","""2017-03-31T00:30:08.000Z""","post","https://twitter.com/gregorybayne/status/847606905472024579","","twitter","847606905472024600","Good lord I have a lot of news to catch up on tomorrow.","",,,,0,0,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
156841,"gregorybayne","""2017-03-31T00:19:02.000Z""","post","https://twitter.com/gregorybayne/status/847604111134531584","","twitter","847604111134531600","My man! @tommybertin is lucky backer 260 for #6DynamicLaws! Thank you, sir!","6DynamicLaws",,,,0,2,,,,,,"""2017-07-05T20:30:14.000Z""","""2017-07-05T20:30:14.000Z""",1326,""
