Campaign,Who,Scraper_ID,Category,Graph Type,Facebook,Twitter,Instagram,YouTube,Migration Status,Intent Status,NOTES,type,funded,reached
The Amaranth Murders,Rosie,554,9,Type 3 4/na,"bookshopmedia
comic.writer (p)","bookshop_media
spidertaz",,,In Progress,,,3,4,0
MINIM,Lauren,555,6,Type 2 129/63,minimgear,,minimgear,,In Progress,,,2,129,63
Dots+Loops 2017,Lauren,556,11,Type 4 103/100,dotsandloopsbrisbane,,dotsandloopsmusic,,In Progress,,,4,103,100
The Last Garden,Rosie,557,9,Type 2 286/5,"onethousandxp
rowlands.chris (p)",OneThousandXP,npcchris,onethousandxp,In Progress,,,2,286,5
APEX Wallet 2.0,Lauren,558,6,Type 2 1451/1,themstrmnd,themstrmnd,themstrmnd,,In Progress,,,2,1451,1
Gem City CatfÃŒÂ©,Lauren,559,8,Type 2 183/13,gemcitycatfe,gemcitycatfe,gemcitycatfe,,In Progress,,,2,183,13
The Shared Dream,Rosie,560,9,Type 2 476/7,ODAMPublishing,odampublishing,,,Done,,,2,476,7
Mountain Belt,Lauren,561,5,Type 2 985/3,craftnlore,craftnlore,craftnlore,,In Progress,,,2,985,3
RECALLIT,Lauren,562,14,Type 3 8/na,readandrecallit,recallit_,recallit_ (private),,In Progress,,,3,8,0
Advocacy App,Lauren,563,14,Type 4 100/100,,theadvocacyapp,,,Done,,,4,100,100
Force Fluid,Rosie,564,5,Type 2 383/15,forcefluid,FORCEFLUID,,,Done,,,2,383,15
Perfect (if you change),Church,565,7,Type 1 103/93,"PerfectIfYouChange, narastoopour (p), profile.php?id=100000082732298&ref=br_rs (p), shanelledjohn (p)",carmen_plumb,"carmenplumb23, stickylightbeing",UCWPUPC3MQj86Tf2LU4-th5A,In Progress,,,1,103,93
Hidden Treasure - Classical Armenian Music - Violin CD,Church,567,11,Type 1 107/90,nunemelik,,nune_melik,,In Progress,,,1,107,90
Songs of The Rat Pack,Rosie,568,11,Type 4 102/96,geordiebrown.fanpage,"neptunetheatre
geordbrown","neptunetheatre
geordiebrown",,In Progress,,,4,102,96
The Slumber Stache,Rosie,569,5,Type 4 110/79,Airohead-Limited-507567459434149,"airoheadlimited
slumberstache",airoheadlimited,,In Progress,,,4,110,79
Jaunt Pack Flex,Rosie,570,6,Type 2 175/53,"jauntshop
michaelgruner (p)","Jaunt
grunerm",jauntlife,,In Progress,,,2,175,53
LANDSLIDE Cursed Ground,Rosie,571,2,Type 4 28/na,"landslidecomics
headshrinkerspress
Nichihawkins (p)",HeadshrnkrPress,nichihawkins,,In Progress,,,4,28,na
"unbag magazine: an arts, culture, & politics publication",Church,572,13,Type 4 119/94,"unbagnyc, awentz (p), Artist.is.art (p)",frenchtron,,,In Progress,,,4,119,94
Scalpers Web-Series,Rosie,573,7,Type 3 62/na,"TresGatosTV
rhpooley (p)",tresgatostv,tresgatostv,TresGatosProductions,In Progress,,No Tweets. No Instagram posts,3,62,0
Take your pet on the road in eco-friendly style,Church,574,6,Type 3 1/na,BarknBag,,,,Done,,,3,1,0
The Rooks Record Debut Album!,Church,575,11,Type 1 105/98,TheRooksBand,therooksband,TheRooksBand,TheRooksBand,In Progress,,,1,105,98
Super Robot MAYHEM,Rosie,576,2,Type 2 145/10,superbotmayhem,superbotmayhem,superrobotmayhem,,In Progress,,,2,145,10
Dougie McCance Debut Solo Album,Church,577,11,Type 2 150/20,DougieThePiperOfficial,dougiethepiper,,,Done,,,2,150,20
Health Warrior and Operation Farm,Rosie,578,8,Type 4 113/95,HealthWarriorChia,HealthWarrior,healthwarrior,,In Progress,,,4,113,95
Intergalactic Travel Bureau: Space Vacations For All VR,Church,579,14,Type 3 30/na,guerillascientist,guerillascience,,GuerillaScientist,In Progress,,,3,30,0
Absynthia,Rosie,581,7,Type 1 105/97,AbsynthiaRyan,"seregonodassey
AbsynthiaRyan",,,Done,,,1,105,97
FLEXICUFF: The solution to perfectly rolled sleeves,Church,582,6,Type 3 11/na,,Flexicuff_strap,flexicuff,UCETi9Dm84FICGbvL4N11qSw,In Progress,,,3,11,0
Mastering Authentic Charisma,Rosie,583,12,Type 3 0/na,"robertmacrina303 (p)
RobertMacrinaOfficial",robertmacrina,robertmacrina,,In Progress,,Didn't mention campaign at all,3,0,0
Help INCA TEA build their WORLD HQ BOTTLING FACILITY,Church,584,8,Type 3 20/na,IncaTeaLLC,incatea,incatea,,In Progress,,,3,20,0
ISaid-uSaid,Rosie,585,14,Type 3 0/na,isaidusaid,richardsinderb1,,,Done,,,3,0,0
Stadium Sleepover New Orleans Baby Cakes,Church,586,7,Type 1 102/93,"christrew (p), Trew2theGame",christrew,christrew,,In Progress,,,1,102,93
Treebu,Church,587,14,Type 3 3/na,treebu.net,treebutribe,treebu_tribe,,In Progress,,,3,3,0
Beeeees,Church,588,9,Type 2 178/47,actionphase,actionphase,actionphase,,In Progress,,,2,178,47
Honeybee Special Edition MetalLuxe Gold Foil Playing Cards,Church,589,9,Type 2 156/13,penguinmagic,,penguincards,,In Progress,,,2,156,13
Mania: The Faces,Rosie,590,2,Type 1 101/100,alexstudiosLA,alexstudiosLA,artandlearningexpedition,UCgfmfWuZ87RvE5nhVDcpiog,In Progress,,,1,101,100
Pipmen: World Playing Cards,Church,591,9,Type 2 236/3,Elephant-Playing-Cards-296110697179310,elephant_cards,elephantplayingcards,,In Progress,,,2,236,3
"H.P. Lovecraft's ""Cool Air"" DVD/Blu-ray release",Church,592,7,Type 4 132/76,The-Art-of-Bryan-Moore-1840382879584353,artofbryanmoore,theartofbryanmoore,UCipeLF12Br6hPEUEX-SX6QA,In Progress,,,4,132,76
Unlocked: The Mansion of Mana,Rosie,593,9,Type 2 136/48,GoodKnightGamesLLC,,,,Done,,,2,136,48
Taji's New Record - Becoming Me EP,Church,594,11,Type 3 56/na,tajimusic,,taji_music,tajimusic,In Progress,,,3,56,0
Hortensia and the Magical Brain,Rosie,595,13,Type 2 146/33,fastjulie (p),juliebipolar,,,In Progress,,,2,146,33
Prisma & the Masquerade Menace,Church,596,9,Type 4 107/93,ProjectPrisma,"Project_Prisma, ShinyBoltGames",,,Done,,Tumblr: prismagame,4,107,93
Centuries,Rosie,597,7,Type 3 8/na,"stevieleonard96 (p)
TheCoreProductions",,,,In Progress,,,3,8,0
Imagery and artwork inspired by Mexican Tradition,Church,598,1,Type 3 4/na,MLueraCollections,,mlueracollections,,In Progress,,,3,4,0
Help Fund Mikey Pauker's New Full Length Album!,Church,599,11,Type 3 32/na,mikeypauker,mikeypauker,mikeypauker,,In Progress,,,3,32,0
The Fall of Lazarus,Rosie,600,9,Type 4 115/93,nowandstudios,NoWandStudios,,nowandstudios,In Progress,,,4,115,93
Tempus Spin Coin,Church,601,5,Type 2 1343/1,,JLLawsonCo,jllawsonandco,,In Progress,,Probable outlier,2,1343,1
Heartbound,Rosie,602,7,Type 2 385/7,gopiratesoftware,PirateSoftware,,UCMnULQ6F6kLDAHxofDWIbrw,In Progress,,,2,385,7
Chris Strand Album,Rosie,603,11,Type 4 112/93,chrisstrandmusic,ChrisStrandband,,,Done,,,4,112,93
goFooty app,Rosie,604,14,Type 3 0/na,"ZoeGoFootyBubel (p)
goFootyApp",gofootyapp,gofootyapp,,In Progress,,,3,0,0
Brew House Playing Cards,Church,605,9,Type 3 83/na,forgeknox (unavailable),,"brewhouseplayingcards, forgeknox",,Issue,,FACEBOOK UNAVAILABLE,3,83,0
Disassembling - A Colouring Book,Church,606,13,Type 1 113/71,carlospatinoillustrations,,xutox,,In Progress,,,1,113,71
THE MARTIAL MAN SEASON 2,Church,607,7,Type 3 1/na,themartialman,the_martialman,the_martial_man,UCe9cCExZ6ycRwSPw1W3MdCQ,In Progress,,,3,1,0
Song of Swords,Rosie,608,3,Type 2 297/6,SongofSwords,SongofSwordsRPG,songofswordsrpg,,In Progress,,,2,297,6
The Backseat Divider: Divide Your Ride,Church,609,14,Type 3 1/na,PeacefulRides,,,UC9U9qLY2dBYf8aVdgccVxuQ,In Progress,,,3,1,0
Erling,Rosie,610,6,Type 3 25/na,"jens.munkeby (p)
Erling.in",Erling_in,erling.in,,In Progress,,,3,25,0
Metropolight: a photobook,Church,612,12,Type 2 278/19,gaberle (p),,davidgaberle,,In Progress,,,2,278,19
transAscend Spacelift,Rosie,613,14,type 3 1/na,transascend,transAscend,,,Done,,,0,0,0
The Grid Game,Rosie,614,9,Type 2 1217/16,TheGridGame,TheGrid_Game,thegridgame,,In Progress,,,2,1217,16
CHILLING TALES FOR DARK NIGHTS,Church,615,7,Type 3 48/na,"chillingtalesfordarknights, jesse.cornett.9 (p)",jessecornett667,,"vtv, chillingtaleswi",In Progress,,,3,48,0
South Shore High,Rosie,616,7,Type 3 5/na,asianbostonmg,,,asianboston,In Progress,,,3,5,0
Merino Tech 2.0: The Minimal and 360 Hoodie,Church,617,6,Type 2 1566/6,SLabActivewear,SLab_Supply,slab_supply,,In Progress,,,2,1566,6
OpenScope,Rosie,618,14,Type 2 1076/7,Digilent,digilentinc,,DigilentInc,In Progress,,,2,1076,7
Aden Paul Records his Solo Acoustic Debut,Church,619,11,Type 4 105/91,Adenpaulacoustic,,,UCFVcbbScRZzaldNFj2xrumw,In Progress,,,4,105,91
Germantown Espresso Bar,Rosie,620,8,Type 2 106/57,GermantownEspressoBar,,germantownespressobar,,In Progress,,,2,106,57
Ivory Chronicles,Rosie,621,13,Type 3 4/na,IvoryChronicles,ivorychronicles,,,Done,,,3,4,0
Selfly Camera,Rosie,622,14,Type 2 838/17,selfly.camera,SELfly_Camera,selfly.camera,,In Progress,,,2,838,17
Go Get a Roomie! Books 1-2 by ChloÃŒÂ© C,Church,623,2,Type 2 190/23,,GoGetARoomie,,,Done,,,2,190,23
Natalia Chase - Debut Worship Album,Church,624,11,Type 1 102/97,NataliaChaseMusic,,chasenatalia,UCp9tlR7-dHQTwKzvPQOPKfg,In Progress,,,1,102,97
Mathews Mazilla,Rosie,625,1,Type 4 104/93,"mathewstimecapsule
sara.belknap.7 (p)
bjheinley (p)",bjheinley,,,In Progress,,,4,104,93
Through My Soul: THE EAST AFRICAN EXPEDITION,Church,626,10,Type 3 1/na,DrTimothyDWilson,,timothydwilson,,In Progress,,,3,1,0
Eavesdrop Album,Rosie,627,11,Type 4 117/84,EavesdropTrio,EavesdropTrio,EavesdropTrio,,In Progress,,,4,117,84
Passing on the Magic - photogrammetry 3D printed bookends,Church,628,1,Type 3 7/na,Henry-Reichhold-105132505050,,henryreichhold,,In Progress,,,3,7,0
Alpaca and Fiber Farming,Rosie,629,3,Type 3 12/na,fogartyridgefarm,,,,Done,,,3,12,0
Memo Box Mini,Rosie,632,14,Type 2 331/9,memoboxsmartpillbox,smartpillbox,,,Done,,,2,331,9
Brandi Behlen EP,Rosie,633,11,Type 4 108/87,brandibehlenmusic,brandi_behlen,brandibehlen,,In Progress,,,4,108,87
The 50 Card Project,Church,634,1,Type 1 104/93,melanie.mowinski (p),,melaniemowinski,,In Progress,,,1,104,93
Between the Tracks,Rosie,635,13,Type 3 29/na,stevedillonwriter,,,,Done,,,3,29,0
Long Live The Queen,Church,636,9,Type 2 618/4,LudiCreations,ludicreations,,LudiCreations,In Progress,,,2,618,4
sPEN,Church,637,5,Type 2 586/1,VitalCarry,vitalcarry,vitalcarry,,In Progress,,,2,586,1
San Quentin Marathon,Rosie,638,7,Type 4 111/73,"SanQuentinMarathon
christine.yoo1 (p)",HerYooness,,,In Progress,,,4,111,73
Chronotography: The Inner Workings of a Steampunk Life,Church,639,12,Type 2 123/53,BabsWTP,BabetteKD,babs.wtp,UCJJd5svFENO6mLUYugFB2ig,In Progress,,,2,123,53
Bearly Working,Rosie,640,9,Type 2 197/38,LazyWolfGames,,lazywolfgames,,In Progress,,,2,197,38
NO CONTROL,Church,641,7,Type 3 27/na,NoControlDoc,NoControlFilm,,,Done,,,3,27,0
The Last Man,Church,644,11,Type 4 109/87,oliverfranklinmusic,Oli_Frank,,,Done,,,4,109,87
The Z Swab,Church,645,5,Type 3 2/na,Z-Swabs-441988676137398,Zswabs,,,Done,,,3,2,0
Hele iâ‚¬ï¿_ NCECA,Lauren,646,1,Type 4 103/92,shannon.owo,,shannon.owo,,In Progress,,,4,103,92
Panzer Mech Weird WWII,Lauren,647,9,Type 2 436/3,westwindproductions,west_wind_tweet,,,Done,,,2,436,3
Luxury Lingerie For Every Woman,Church,648,6,Type 3 3/na,mymariebella,onlyladybird,"shopmariebella, ladybirdlingerie",,In Progress,,,3,3,0
Teaquation 2.0,Church,649,8,Type 3 11/na,teaquation,teaquation,teaquation,,In Progress,,,3,11,0
Walton Rods,Church,650,5,Type 2 192/1,waltonrods,waltonrods,waltonrods,,In Progress,,,2,192,1
Resignaiton Or: A Cold Day in May,Lauren,651,7,Type 4 100/76,foolsparadisepresents,,,,Done,,,4,100,76
Bring Bicycle Boulevards to Durham,Church,652,5,Type 4 103/97,bicycleboulevards,DurhamBicycle,,,Done,,,4,103,97
INK BRICK,Lauren,653,2,Type 4 124/90,inkbrick,inkbrick,,,Done,,,4,124,90
Raptor Tactical,Lauren,654,5,Type 2 154/67,raptortacticallc,raptortactical1,,UCV-I3EtPPT8dM8UOd7LHSog,In Progress,,,2,154,67
More Alike Than Different,Church,655,13,Type 4 115/83,"nightingailbooks, gail.hamblin.5 (p), amy.spampinato.3 (p), theprettycrazies",,,,In Progress,,,4,115,83
Adam Winn EP,Lauren,656,11,Type 1 109/93,adamwinnmusic,,,,In Progress,,,1,109,93
REAL (A Schizophrenia Story),Church,657,7,Type 1 100/100,,,realthemovie,,In Progress,,,1,100,100
Fischer Theatre Marquee,Lauren,658,15,Type 3 16/na,fischertheatre,fischertheatre,fischertheatre,,In Progress,,,3,16,0
The Floppy Fantastic San Francisco Friday,Church,659,13,Type 2 116/50,"AlenaIllustrations, profile.php?id=100013550887654 (p)",,reginashuman,UCAJ0sQAvgi7TjyGuzUjHsrA,In Progress,,,2,116,50
Chef Tanya's Kitchen,Church,660,8,Type 1 100/100,cheftanyaskitchen,cheftanyaskitch,cheftanyaskitchen,UCXmOD-YI9Jk2DV9JpFSPCUQ,In Progress,,,1,100,100
Adventures of Otitis,Lauren,661,13,Type 1 133/73,adventuresofotitis,malichten,adventuresofotitis,,In Progress,,,1,133,73
Punk Taco,Lauren,662,13,Type 2 128/53,IllusMedia,adamwallenta,,ILLUStv,In Progress,,,2,128,53
Motorleaf,Church,663,14,Type 2 134/43,motorleaf,motorleaf,motorleaf,,In Progress,,,2,134,43
Gods and Goddesses,Lauren,664,9,Type 4 230/90,jetpackseven,conceptopolis,,,Done,,,4,230,90
Verve TWS Wireless Headphones,Lauren,665,5,Type 2 240/6,vervetws,,,,Done,,,2,240,6
CARVON,Church,666,14,Type 2 148/73,carvonskates,carvonskates,carvonskates,,In Progress,,,2,148,73
Flavour Bottle,Lauren,667,14,Type 3 86/na,flavourbottle,,,,Done,,,3,86,0
36 - Void Dance,Lauren,668,11,Type 2 242/4,3sixrecordings,3sixrecordings,,,Done,,,2,242,4
SMART WATER METER WITH LEAK PROTECTION,Church,669,14,Type 3 5/na,intellecy,intellecyinc,intellecy,UCBUBqrxwdZyoqpDFRu86xRg,In Progress,,,3,5,0
Bike Mural for Tucson Arizona (FB NOT SCRAPING),Church,670,1,Type 1 120/96,joepagac (p),JoePagac,joepagac,,In Progress,,,1,120,96
Pests!,Lauren,671,9,Type 4 189/77,sponcomgames,sponcomgames,,,Done,,,4,189,77
Paper Water Bottle: We Will Help Save Our Planet,Church,672,5,Type 2 200/7,360PaperWaterBottle,PaperWaterBottl,,UCWg6rGztMsbxgeWd9NEOMuw,In Progress,,,2,200,7
Heroine Debut EP!,Lauren,673,11,Type 4 125/87,heroine.music.nyc,heroine_nyc,heroine.music.nyc,,In Progress,,,4,125,87
Green Banana Paper Wallets,Church,674,6,Type 2 249/9,greenbananapaperco,MadeInKosrae,greenbananapaper,UCmRdSRi2uWP7iQqfjmqjFkA,In Progress,,,2,249,9
Cast & Place: City of Dreams Pavilion,Church,676,5,Type 1 104/97,"castandplace, josh.draper.54 (p), Shizzzermonkey (p)",powelldraper,,,In Progress,,,1,104,97
Wondrous Machines,Lauren,677,2,Type 4 114/80,,superfamoustia,superfamoustia,,In Progress,,,4,114,80
American Honey Creamery,Lauren,678,8,Type 4 106/87,American-Honey-Creamery-LLC-898033250308482,,americanhoneycreameryct,,In Progress,,,4,106,87
â€°Ã‘ï¿_ The Adjustable Bag â€°ÃêÃ¡,Lauren,678,5,Type 2 1147/13,theadjustablebag,,,,Done,,,2,1147,13
Cartoon characters before coffee,Church,679,13,Type 1 103/100,idrawcartoons,,samuelmilham,,In Progress,,,1,103,100
FannibalFest,Church,681,7,Type 1 142/90,fannibalfest,FannibalFest,,,Done,,,1,142,90
Xicha Brewing,Church,682,8,Type 2 127/50,xichabrewing,xichabrewing,xicha.brewing,,In Progress,,,2,127,50
SKYWATCH: a sci-fi short,Church,683,7,Type 2 151/67,colinlevy (p),ColinLevy,colin.levy,,In Progress,,,2,151,67
Tiger Moon Cariboo,Church,684,11,Type 2 147/50,tigermoonmusic,tweettigermoon,tigermoonmusic,UCR7RBq_EODpHjXvllG3C6bg,In Progress,,,2,147,50
Cop #2 (Volume One),Lauren,685,2,Type 4 114/90,egocentriccomics,,,,Done,,,4,114,90
Support Proof,Lauren,686,8,Type 4 102/100,45grandave,,yessicamoncada,,In Progress,,,4,102,100
Capelli - Mobile Barbers On Demand,Church,687,14,Type 3 25/na,capelliapp,capelliapp,capelliapp,,In Progress,,,3,25,0
Julia Nunes Makes Music,Lauren,688,11,Type 2 236/4,julianunesmusic,julianunes,julianunesmusic,UCDEsQa71VXh7tXn4SpFu9Lg,In Progress,,,2,236,4
Women Change-Makers: a colouring book,Lauren,689,1,Type 4 121/70,JMPaterson-251114321680790,jmpatersonart,jm.paterson,,In Progress,,,4,121,70
Feral part 2,Lauren,690,7,Type 4 101/77,feralmovie1,,,DavidLiban,In Progress,,,4,101,77
Give A Smile To A Child,Church,691,13,Type 3 11/na,"RZIBARTPRODUCTIONS, kitcoyoteabravepup",Passion8Grandma,,,Done,,,3,11,0
"""And The Band Was Playing a Gay Tune""",Lauren,692,12,Type 4 100/96,antinous.press,antinouspress,snshahid (p) ; antinouspress,,In Progress,,,4,100,96
The Brug,Church,693,5,Type 2 275/6,wearewunderlife,wearewunderlife,,UCJRBmzGPL9VDRM2uA6bKI5w,In Progress,,,2,275,6
"At Home, At Sea Cookbook",Lauren,694,8,Type 4 102/90,mainewindjammer,mainewindjammer,athomeatsea,,In Progress,,,4,102,90
Trading Races,Lauren,695,9,Type 4 118/93,tradingracesgame,tradingraces,tradingraces,,In Progress,,,4,118,93
Cold Shadows - Narrative Espionage Roleplaying,Church,696,9,Type 2 839/1,"gallantknightgames, bahr.alan (p), Nocturnal-Media-482075538508775","stewartwieck, GallantKGames, alanbahr",,,In Progress,,,2,839,1
The Moods of the Mad King!,Church,697,9,Type 1 105/100,"gallantknightgames, bahr.alan (p), Nocturnal-Media-482075538508775","stewartwieck, alanbahr, GallantKGames",,,In Progress,,,1,105,100
AN OFFICE FOR IMPREC,Church,698,11,Type 2 240/10,imprec,imprec,,importantrecords,In Progress,,,2,240,10
Caviar Dreams,Lauren,699,7,Type 2 180/66,caviarfilm,caviarfilm,,,Done,,,2,180,66
everything in blue: pilot,Church,700,7,Type 1 108/100,eibwebseries,andy01249,,UC2JG0dlag8bJxaH-RksdMpg,In Progress,,,1,108,100
RecordingOnTheRISE,Church,701,11,Type 3 11/na,riseacappella,,RISEACappella,,In Progress,,,3,11,0
OOSynapse,Church,701,14,Type 3 25/na,,oosynapse,oosynapse,,In Progress,,,3,25,0
La Sequia: Women Not Walls,Rosie,703,7,Type 4 20/na,"lasequiafilm
",silvergirlpics,lasequiafilm,,In Progress,,,4,20,na
Sugar Skull COLOUR UP,Church,704,5,Type 2 163/64,hellesteeth,,hellesteeth,,In Progress,,,2,163,64
Bali's Paradise Paradigm,Lauren,705,7,Type 2 122/43,,tokenproject,asustainablevision,,In Progress,,,2,122,43
Plunger Vermin Scum,Church,706,11,Type 2 129/70,plungerofficial,,,,Done,,Tumblr: plungermusic,2,129,70
BLACK COMIX RETURNS,Lauren,707,2,Type 2 283/13,neurobellum,neurobellum,robotsockmonkey,,In Progress,,,2,283,13
Of Tree Album Debut,Church,708,11,Type 1 113/83,"oftreemusic, laurel.morgan.1 (p), john.bersuch (p), ben.parks.37 (p)",,,,In Progress,,,1,113,83
FYB London,Church,709,14,Type 2 438/13,FYBLondonbags,FYBLondon,fyblondon,,In Progress,,,2,438,13
CRY Stillbirth,Church,710,7,Type 2 109/68,CRYshortfilm,,cry__shortfilm,,In Progress,,,2,109,68
Clever Collar,Church,711,14,Type 3 9/na,CleverCollar,CleverCollarUK,,,Done,,,3,9,0
Baron Fig Minimal,Church,712,5,Type 2 209/6,baronfig,baronfig,baronfig,,In Progress,,,2,209,6
TEASCARF BROOKLYN,Church,713,6,Type 4 117/77,Teascarf,,,,Done,,Bad data?,4,117,77
HOW TO BE A FAGGOT,Church,714,13,Type 2 186/10,,JamisonKaron,jamisonkaron,,In Progress,,,2,186,10
Reissuing Vignelli,Church,715,5,Type 2 148/57,ritpress,ritpress,ritpress,,In Progress,,,2,148,57
Cosplay By the Bay,Lauren,716,12,Type 3 33/na,kairuphotography,kairuphotos,kairuphotos,,In Progress,,,3,33,0
Learn How To Build An AI,Church,717,14,Type 2 2026/1,superdatascience,kirill_eremenko,,,Done,,,2,2026,1
WHISPERING SHADOWS,Church,718,7,Type 2 168/25,,andrewesimpson,,andrewesimpson,In Progress,,16 day duration,2,168,25
High Waist Vintage Style Jeans,Lauren,719,6,Type 4 128/81,ladykloves,ladykloves,ladykloves,,In Progress,,,4,128,81
CHISEL FITNESS PLANNER,Church,720,5,Type 2 226/33,getChiseled,getChiseled,getchiseled,,In Progress,,,2,226,33
Lady Bits By Liana Kerzner,Church,721,10,Type 2 191/23,RedLianaK,redlianak,,LianaK,In Progress,,,2,191,23
MySoldMate,Church,722,14,Type 3 12/na,MYSOLDMATE,mysoldmate,mysoldmate,,In Progress,,,3,12,0
House of Bricks Fairy Tale,Church,723,7,Type 1 100/100,bgnprod,,bgnprod,,In Progress,,,1,100,100
Student Design Fellowship,Church,724,5,Type 4 104/97,beoriginalamericas,beoriginalusa,beoriginalusa,BeOriginalAmericas,In Progress,,,4,104,97
SECTION ZERO,Church,725,2,Type 1 105/100,"sectionzerocomic, helioscopepdx, profile.php?id=100009818864444 (p)","karlkesel, HelioscopePDX",,,In Progress,,,1,105,100
Super Plexis,Rosie,726,9,Type 3 5/na,,medleystudio,medleystudio,,Done,,,3,5,0
Motes Audio,Church,727,14,Type 3 16/na,motesaudio,motesaudio,motesaudio,,In Progress,,,3,16,0
The Good Soldier Schwejk,Church,728,7,Type 1 100/100,"sandsfilmsstudio, soldierschwejk","sandsfilmscine, Schwejk_Sands",,UCWBuCrmD_1nXvSDYrRGmliA,In Progress,,,1,100,100
Vinco Fly,Lauren,730,5,Type 2 508/7,vincolife,vincolife,vincolife,,In Progress,,,2,508,7
PackPillow,Church,731,5,Type 2 462/1,packpillow,PearceAu,,,Done,,,2,462,1
Sailing Toward Osiris,Church,732,9,Type 2 157/39,dailymagicgames,_dailymagic_,,,Done,,,2,157,39
Untucked Workwear,Church,733,6,Type 2 166/33,untuckedworkwear,heycolleen,untuckedworkwear,,In Progress,,,2,166,33
Tradewars Homeworld,Church,734,9,Type 2 265/21,outerlimitgames,outerlimitgames,,outerlimitgames,In Progress,,,2,265,21
Overnight Oats,Church,735,8,Type 4 107/94,DavesGourmet,DavesGourmet,davesgourmetinc,,In Progress,,,4,107,94
Jelly 4G Smartphone,Church,736,14,Type 2 4171/1,getJelly,Unihertz,,UCg5WgK9KQn13sQyu2uFCkcQ,In Progress,,,2,4171,1
"""Paradise"" The Animation",Lauren,737,7,Type 4 101/93,,yoshiofrench,,,Done,,,4,101,93
Regatta Chronograph,Church,738,5,Type 2 313/1,RosslingCo,rosslingco,rosslingco,,In Progress,,,2,313,1
JJs Iron Gardens and Blacksmith Studio,Rosie,739,1,Type 3 1/na,JJs-Iron-Gardens-and-Blacksmith-Studio-1735673770096577,,,,Done,,,3,1,0
The Cheeseletes,Rosie,740,8,Type 4 114/78,thecheeseletes,thecheeseletes,thecheeseletes,,In Progress,,,4,114,78
BOOK: The Keys To The Kingdom - HOPE,Rosie,741,13,Type 4 100/100,"thekingdomkey
Obiwanjainobi (p)",jwurfbain,jwurfbain,,In Progress,,,4,100,100
OrbusVR,Lauren,742,9,Type 2 345/14,orbusvr,orbusvr; rileydutton (p),,,Done,,,2,345,14
The City of Sands,Rosie,743,9,Type 4 109/93,2cgaming,2cgaming,,,Done,,,4,109,93
Ebe Oke - EP,Lauren,744,11,Type 3 21/na,Ebe-Oke-35822747291,ebeoke,ebeoke,,In Progress,,,3,21,0
African American Women Math Book,Rosie,745,13,Type 4 103/98,shelly.m.jones (p),shellymjones1,,,In Progress,,,4,103,98
Tanya Gallagher Album,Rosie,746,11,Type 2 115/38,tanyagallaghermusic,TanyaLGallagher,,,Done,,,2,115,38
Red Roaster Reimagined,Lauren,747,8,Type 3 18/na,redroasterbrighton,,redroaster,,In Progress,,,3,18,0
Joe in a Bottle Mobile Coffee,Rosie,748,8,Type 3 13/na,joeinabottle,,joeinabottle,,In Progress,,,3,13,0
ChowCheck,Lauren,749,14,Type 3 19/na,chowcheck,,,,Done,,,3,19,0
We Are One,Rosie,751,13,Type 1 36/na,,elisabethuva,,,Done,,,1,36,na
Marbles Mag,Rosie,753,10,Type 2 130/43,marblesmag,MarblesMag,,,Done,,,2,130,43
Americano Short Film,Rosie,754,7,Type 4 145/79,"timviola (p)
consurgofilms",tviola,,,In Progress,,,4,145,79
Pressed Penny Machine For Marquette,Rosie,755,14,Type 4 31/na,paulolsonart,,,,Done,,,4,31,na
Manaslu Athletics,Lauren,756,14,Type 4 101/95,manasluathletics,,manasluathletics,,In Progress,,no facebook posts to scrape,4,101,95
SmuggleCraft,Rosie,757,9,Type 1 103/100,"HappyBadgers
pixelpopfestival","HappyBadgers
pixelpopfest",,,Done,,,1,103,100
Eyewear Handcraft Hemp,Rosie,758,5,Type 4 118/90,hempeyewear,hempeyewear,hempeyewear,,In Progress,,,4,118,90
96B Presents: Something Strange and Beautiful,Lauren,759,4,Type 4 105/91,96bdance,,96bdance,,In Progress,,,4,105,91
Little Birdie Love,Rosie,760,6,Type 3 39/na,"mommaloveswaddles
littlebirdieloves",,"mommalovemommas
littlebirdieloves",,In Progress,,,3,39,0
The Midnight Contingent,Lauren,761,11,Type 4 104/90,cheshiremoonmusic,cheshire__moon,,CheshireMoonBand,In Progress,,,4,104,90
All Things Cancer Podcast,Rosie,762,13,Type 3 6/na,,friedonation,,,Done,,,3,6,0
The Float Tank Cure,Lauren,763,7,Type 4 106/87,thefloattankcure,shanestott,,,Done,,,4,106,87
60 Years of Jazz Documentary,Rosie,764,11,Type 4 119/87,MontereyJazzFestival,MontereyJazz,,,In Progress,,Won't scrape twitter,4,119,87
Chet's Anytime Bloody Mary Mix,Rosie,765,8,Type 3 20/na,chetsbloodymarymix,,,,Done,,,3,20,0
Cognitive Dissonance,Rosie,766,11,Type 2 193/13,matthewebelmusic,matthewebel,matthewebelmusic,matthewebel,In Progress,,Won't scrape twitter,2,193,13
Matt Hill EP,Lauren,767,11,Type 4 114/93,matthill.mu,matthillmusic,matthillmusic,matthillmusictv,In Progress,,,4,114,93
SchoolDaze,Lauren,769,14,Type 3 12/na,schooldaze.io,schooldazeio,,,Done,,,3,12,0
Short Film - Love! Love! Love!,Rosie,770,7,Type 4 109/75,eleven04,,eleven04films,UCgV3LXYAdE8Tledigzgb33A,In Progress,,,4,109,75
