Campaign,Who,Scraper_ID,Category,Graph Type,Facebook,Twitter,Instagram,YouTube,Migration Status,Intent Status,NOTES,type,funded,reached
Clans of Caledonia,Church,88,9,Type 2 1193/4,"Clans-of-Caledonia-283779458735756, playkarmagames",karma__games,,UC3Pn_zQPQFjGMOazJucWm4g,Done,,,2,1193,4
The Kursk,Jessica,89,2,Type 4 104/100,"LuchaComics
",LuchaComics,,,Done,,,4,104,100
Crooked Bottle,Jessica,90,8,Type 1 99/na,,HomeBrewXchange,,,Done,,,1,99,na
SOAR Doc,Jessica,93,7,Type 4 99/na,"HotFlashFilmsPDX
soardocumentary
","HotFlashFilmsPD
soardocumentary",,,Done,,,4,99,na
Float: A Graphic Memoir About Anxiety,Jessica,98,2,Type 2 335/3,"TaraNormalActivity (b)
hcnoel (p)","Tara_Normal 
shelley_noel
hcnoel",howienoel,,In Progress,,,2,335,3
RiVE: Technology for Distraction-Free Driving,Church,99,14,Type 2 116/33,riveanddrive,RiVEandDrive,riveanddrive,,Done,In Progress,,2,116,33
eMinnow - The Worlds 1st Fully Motorized Fishing Lure,Church,100,14,Type 2 160/56,"eMinnowLures, wwweminnowcom",eMinnowLures,,UCc0kC-kRpQjLNbBRIelmcEw,In Progress,,,2,160,56
Lore of the Gods,Rosie,101,9,Type 2 138/66,"dragonwinggames
StevenCreech.author",DragonWingGames,,,Done,In Progress,,2,138,66
Know Your Place: Essays on the Working Class,Jessica,102,13,Type 2 142/46,DeadInkBooks,"DeadInkBooks
NightLightNate",deadinkbooks,,In Progress,,,2,142,46
Hybern8,Church,103,5,Type 2 150/6,GetPetoji,,petoji,,Done,In Progress,,2,150,6
The Light of Deaf Women,Church,104,13,Type 4 117/81,"GlobalDeafWomen, SofiaSeitchik",globaldeafwomen,"globaldeafwomen, sofiaseitchik",UCb5qjxflVb0UcPLEPvIxQeA,Done,In Progress,,4,117,81
Paper Route Bakery,Rosie,105,8,Type 4 105/86,paperroutebakery,paperrouteatx,paperroutebakery,,Done,,,4,105,86
Evolution Brush: 1st Ever Shave Brush to Fit on Shaving Cans,Jessica,106,5,Type 2 620/3,legacyshave,LegacyShave,legacyshave,Legacy Shave,In Progress,,,2,620,3
Sonic Decanter,Church,107,5,Type 1 164/83,Sonic-Decanter-376112462532656,sonicdecanter,,,Done,,,1,164,83
Dollhouse Vol 2: Haunted Gospels Book,Jessica,109,2,Type 3 37/na,raynadineart,rayrayinspace,,,In Progress,,,3,37,0
